Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
ApplicationInsights-Java-Samples,com.example,ManualTracePropagation,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,ManualTracePropagation,sendOneRequest,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,RequestProcessor,doSomethingThatIsAutoInstrumented,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackAdvancedException,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackAdvancedException,trackAdvancedException,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackAdvancedException,initOpenTelemetry,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackDependency,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackDependency,track,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackException,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackException,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackLog4j2,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackLog4j2,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackLog4j2,trackWithSlf4j_2,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackLog4j2,initOpenTelemetry,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackLogback,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackLogback,trackWithSlf4j,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackLogback,initOpenTelemetry,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackLog4j2,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,TrackLog4j2,initOpenTelemetry,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,Main,main,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,Main,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,DemoSpanExporter,export,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,DurationSpanExporter,export,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,DurationSpanExporter,getRequestDurationInSeconds,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,DurationSpanExporter,getRequestDurationInSeconds,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,DemoController,longDuration,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ApplicationInsights-Java-Samples,com.example,Application,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
