Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,reactiveHighSeverityOnly,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,reactiveMediumSeverityOnly,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,reactiveLowSeverityOnly,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,proactiveHighSeverityOnly,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,proactiveMediumSeverityOnly,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,proactiveLowSeverityOnly,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,InsightHandler,pickUseCase,Complex Method,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,createIncident,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,createIncident,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,createIncident,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,createIncident,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,newAnomalyAssociation,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,newRecommendation,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,findIncidentByInsightId,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,findIncidentByInsightId,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,findIncidentByInsightId,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,updateIncident,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,updateIncident,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,updateIncident,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,getBuilderWithBasicValues,Complex Conditional,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,getBuilderWithBasicValues,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,createIncidentFromInsight,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,getAnomaliesAsDescription,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,getServiceNowSeverity,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,getServiceNowSeverity,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,methodMetrics.csv,newInsight,4.0,1.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,methodMetrics.csv,insightClosed,3.0,1.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,methodMetrics.csv,newAssociation,3.0,1.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,methodMetrics.csv,newRecommendation,3.0,1.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,methodMetrics.csv,newSeverity,5.0,1.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,methodMetrics.csv,allFeatures,24.0,6.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,methodMetrics.csv,reactiveHighSeverityOnly,10.0,4.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,methodMetrics.csv,reactiveMediumSeverityOnly,10.0,4.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,methodMetrics.csv,reactiveLowSeverityOnly,10.0,4.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,methodMetrics.csv,proactiveHighSeverityOnly,10.0,4.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,methodMetrics.csv,proactiveMediumSeverityOnly,10.0,4.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,methodMetrics.csv,proactiveLowSeverityOnly,10.0,4.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,methodMetrics.csv,InsightOpenAndRecommendations,11.0,4.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,methodMetrics.csv,InsightOpenAndAnomalies,11.0,4.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,methodMetrics.csv,InsightOpenAndSeverityUpgraded,11.0,4.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,InsightHandler,,,methodMetrics.csv,pickUseCase,39.0,11.0,3.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,InsightHandler,,,methodMetrics.csv,handleRequest,9.0,1.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,createIncident,29.0,3.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,closeIncident,9.0,1.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,severityUpgrade,6.0,1.0,3.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,newAnomalyAssociation,9.0,1.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,newRecommendation,13.0,2.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,findIncidentByInsightId,31.0,3.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,updateIncident,25.0,2.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,getBuilderWithBasicValues,19.0,2.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,incidentToJson,4.0,1.0,1.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,stringToIncident,4.0,1.0,1.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,stringToServiceNowResultArray,4.0,1.0,1.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,createIncidentFromInsight,15.0,2.0,1.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,getAnomaliesAsDescription,10.0,3.0,1.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,getServiceNowSeverity,11.0,3.0,1.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,getRequestDetail,18.0,1.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,getJsonNodeFromInput,15.0,1.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,methodMetrics.csv,getSecret,25.0,2.0,2.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.servicenow,NewInsightHandlerTest,,,methodMetrics.csv,successfulResponse,4.0,1.0,0.0,,,,,,,,,,
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,,,typeMetrics.csv,,138.0,,,1.0,0.0,15.0,15.0,47.0,0.0,0.0,0.0,2.0,3.0
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,InsightHandler,,,typeMetrics.csv,,54.0,,,0.0,0.0,2.0,2.0,12.0,0.0,0.0,-1.0,1.0,2.0
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,,,typeMetrics.csv,,258.0,,,4.0,3.0,17.0,11.0,30.0,0.0,0.0,0.1764705882352941,4.0,4.0
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow.model,Incident,,,typeMetrics.csv,,15.0,,,13.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,4.0,0.0
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow.model,ServiceNowResult,,,typeMetrics.csv,,3.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow.model,ServiceNowResults,,,typeMetrics.csv,,3.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0
amazon-devops-guru-connector-servicenow,aws.devopsguru.servicenow,NewInsightHandlerTest,,,typeMetrics.csv,,6.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,2.0
