Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
azure-cafe,cafe.model.entity,Coffee,hashCode,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
azure-cafe,cafe.model.entity,Coffee,hashCode,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
azure-cafe,cafe.model.entity,Coffee,hashCode,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
azure-cafe,cafe.model.entity,Coffee,equals,Complex Method,implementationCodeSmells.csv,,,,,,,,,,,,,,
azure-cafe,cafe.web.view,Cafe,init,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
azure-cafe,cafe.web.view,Cafe,init,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
azure-cafe,cafe.web.view,Cafe,getAllCoffees,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
azure-cafe,cafe.model,CafeRepository,,,methodMetrics.csv,getAllCoffees,4.0,1.0,0.0,,,,,,,,,,
azure-cafe,cafe.model,CafeRepository,,,methodMetrics.csv,persistCoffee,5.0,1.0,1.0,,,,,,,,,,
azure-cafe,cafe.model,CafeRepository,,,methodMetrics.csv,removeCoffeeById,5.0,1.0,1.0,,,,,,,,,,
azure-cafe,cafe.model,CafeRepository,,,methodMetrics.csv,findCoffeeById,4.0,1.0,1.0,,,,,,,,,,
azure-cafe,cafe.model.entity,Coffee,,,methodMetrics.csv,Coffee,2.0,1.0,0.0,,,,,,,,,,
azure-cafe,cafe.model.entity,Coffee,,,methodMetrics.csv,Coffee,4.0,1.0,2.0,,,,,,,,,,
azure-cafe,cafe.model.entity,Coffee,,,methodMetrics.csv,getName,3.0,1.0,0.0,,,,,,,,,,
azure-cafe,cafe.model.entity,Coffee,,,methodMetrics.csv,setName,3.0,1.0,1.0,,,,,,,,,,
azure-cafe,cafe.model.entity,Coffee,,,methodMetrics.csv,getPrice,3.0,1.0,0.0,,,,,,,,,,
azure-cafe,cafe.model.entity,Coffee,,,methodMetrics.csv,setPrice,3.0,1.0,1.0,,,,,,,,,,
azure-cafe,cafe.model.entity,Coffee,,,methodMetrics.csv,getId,3.0,1.0,0.0,,,,,,,,,,
azure-cafe,cafe.model.entity,Coffee,,,methodMetrics.csv,setId,3.0,1.0,1.0,,,,,,,,,,
azure-cafe,cafe.model.entity,Coffee,,,methodMetrics.csv,hashCode,10.0,1.0,0.0,,,,,,,,,,
azure-cafe,cafe.model.entity,Coffee,,,methodMetrics.csv,equals,13.0,9.0,1.0,,,,,,,,,,
azure-cafe,cafe.model.entity,Coffee,,,methodMetrics.csv,toString,3.0,1.0,0.0,,,,,,,,,,
azure-cafe,cafe.web.rest,CafeResource,,,methodMetrics.csv,getAllCoffees,3.0,1.0,0.0,,,,,,,,,,
azure-cafe,cafe.web.rest,CafeResource,,,methodMetrics.csv,createCoffee,11.0,1.0,2.0,,,,,,,,,,
azure-cafe,cafe.web.rest,CafeResource,,,methodMetrics.csv,getCoffeeById,3.0,1.0,1.0,,,,,,,,,,
azure-cafe,cafe.web.rest,CafeResource,,,methodMetrics.csv,deleteCoffee,9.0,1.0,1.0,,,,,,,,,,
azure-cafe,cafe.web.view,Cafe,,,methodMetrics.csv,getName,3.0,1.0,0.0,,,,,,,,,,
azure-cafe,cafe.web.view,Cafe,,,methodMetrics.csv,setName,3.0,1.0,1.0,,,,,,,,,,
azure-cafe,cafe.web.view,Cafe,,,methodMetrics.csv,getPrice,3.0,1.0,0.0,,,,,,,,,,
azure-cafe,cafe.web.view,Cafe,,,methodMetrics.csv,setPrice,3.0,1.0,1.0,,,,,,,,,,
azure-cafe,cafe.web.view,Cafe,,,methodMetrics.csv,getCoffeeList,4.0,1.0,0.0,,,,,,,,,,
azure-cafe,cafe.web.view,Cafe,,,methodMetrics.csv,getHostName,9.0,1.0,0.0,,,,,,,,,,
azure-cafe,cafe.web.view,Cafe,,,methodMetrics.csv,init,15.0,1.0,0.0,,,,,,,,,,
azure-cafe,cafe.web.view,Cafe,,,methodMetrics.csv,getAllCoffees,5.0,1.0,0.0,,,,,,,,,,
azure-cafe,cafe.web.view,Cafe,,,methodMetrics.csv,addCoffee,8.0,1.0,0.0,,,,,,,,,,
azure-cafe,cafe.web.view,Cafe,,,methodMetrics.csv,removeCoffee,4.0,1.0,1.0,,,,,,,,,,
azure-cafe,cafe.model,CafeRepository,,,typeMetrics.csv,,22.0,,,2.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0
azure-cafe,cafe.model.entity,Coffee,,,typeMetrics.csv,,56.0,,,4.0,0.0,11.0,11.0,19.0,0.0,0.0,0.1818181818181818,4.0,1.0
azure-cafe,cafe.web.rest,CafeResource,,,typeMetrics.csv,,30.0,,,2.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0
azure-cafe,cafe.web.view,Cafe,,,typeMetrics.csv,,66.0,,,7.0,0.0,10.0,8.0,10.0,0.0,0.0,0.0,0.0,1.0
azure-cafe,cafe.web.rest,CafeResource,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
azure-cafe,cafe.web.view,Cafe,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
