Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.featureexamples,Pagination,run,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.featureexamples,Pagination,run,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.featureexamples,Pagination,run,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.featureexamples,Pagination,run,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,SampleAppConfiguration,cosmosClientBuilder,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,SampleAppConfiguration,cosmosConfig,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.common,User,,,methodMetrics.csv,User,2.0,1.0,0.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.common,User,,,methodMetrics.csv,User,5.0,1.0,3.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.common,User,,,methodMetrics.csv,toString,3.0,1.0,0.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.common,User,,,methodMetrics.csv,getId,3.0,1.0,0.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.common,User,,,methodMetrics.csv,setId,3.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.common,User,,,methodMetrics.csv,getFirstName,3.0,1.0,0.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.common,User,,,methodMetrics.csv,setFirstName,3.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.common,User,,,methodMetrics.csv,getLastName,3.0,1.0,0.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.common,User,,,methodMetrics.csv,setLastName,3.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.featureexamples,Pagination,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.featureexamples,Pagination,,,methodMetrics.csv,run,28.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,CosmosProperties,,,methodMetrics.csv,getUri,3.0,1.0,0.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,CosmosProperties,,,methodMetrics.csv,setUri,3.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,CosmosProperties,,,methodMetrics.csv,getKey,3.0,1.0,0.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,CosmosProperties,,,methodMetrics.csv,setKey,3.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,CosmosProperties,,,methodMetrics.csv,getSecondaryKey,3.0,1.0,0.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,CosmosProperties,,,methodMetrics.csv,setSecondaryKey,3.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,CosmosProperties,,,methodMetrics.csv,isQueryMetricsEnabled,3.0,1.0,0.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,CosmosProperties,,,methodMetrics.csv,setQueryMetricsEnabled,3.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,ReactiveUserRepository,,,methodMetrics.csv,findByFirstName,0.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,SampleAppConfiguration,,,methodMetrics.csv,cosmosClientBuilder,4.0,1.0,0.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,SampleAppConfiguration,,,methodMetrics.csv,cosmosConfig,3.0,1.0,0.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,SampleAppConfiguration,,,methodMetrics.csv,getDatabaseName,3.0,1.0,0.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,SampleAppConfiguration,,,methodMetrics.csv,processResponseDiagnostics,3.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,ResponseDiagnosticsProcessorImplementation,,,methodMetrics.csv,processResponseDiagnostics,3.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,SampleApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,SampleApplication,,,methodMetrics.csv,run,35.0,4.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,UserRepository,,,methodMetrics.csv,findByFirstName,0.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,UserRepository,,,methodMetrics.csv,findByIdAndLastName,0.0,1.0,2.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,UserRepository,,,methodMetrics.csv,getAllUsers,0.0,1.0,0.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,UserRepository,,,methodMetrics.csv,getUsersByLastNameList,0.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,UserRepository,,,methodMetrics.csv,getUsersWithEquality,0.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,UserRepository,,,methodMetrics.csv,getUsersWithInequalityMethod1,0.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,UserRepository,,,methodMetrics.csv,getUsersWithInequalityMethod2,0.0,1.0,1.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,UserRepository,,,methodMetrics.csv,getUsersWithEqualityAndInequality,0.0,1.0,2.0,,,,,,,,,,
azure-spring-data-cosmos-java-sql-api-samples,com.azure.cosmos.springexamples.quickstart.sync,UserRepository,,,methodMetrics.csv,getUsersWithRange,0.0,1.0,0.0,,,,,,,,,,
