Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,genEvents,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,genEvents,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,genUserEvent,Long Parameter List,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,genUserEvent,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,nextEventType,Complex Method,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,nextProductType,Complex Method,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,GetStatus,run,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,GetStatus,run,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,GetStatus,run,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,GetStatus,run,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,shutdown,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,shutdown,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,runProducer,Complex Method,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,runProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,runProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,runProducer,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,runProducer,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,runProducer,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,runProducer,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,getSaslScramString,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,getSaslScramString,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,getSaslScramString,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,KafkaProducerFactory,Long Parameter List,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Complex Method,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Identifier,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
