Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
communication-services-android-calling-hero,com.azure.samples.communication.calling,AzureCalling,initializeDependencies,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,findUserProfile,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,acquireTokenSilently,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,acquireToken,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,getCurrentAccount,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,loadAccount,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.calling,CallingContext,getCommunicationTokenCredential,Long Identifier,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.calling,CallingContext,getCommunicationTokenCredential,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.utilities,MSGraphRequestWrapper,callGraphAPIUsingVolley,Long Parameter List,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.utilities,MSGraphRequestWrapper,callGraphAPIUsingVolley,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.utilities,MSGraphRequestWrapper,callGraphAPIUsingVolley,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.utilities,MSGraphRequestWrapper,callGraphAPIUsingVolley,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,InvitationActivity,handle,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,InvitationActivity,handle,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,InvitationActivity,handle,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,InvitationActivity,onOptionsItemSelected,Missing default,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,InvitationActivity,startCallSetup,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,InvitationActivity,makeCall,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,JoinCallActivity,onOptionsItemSelected,Missing default,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,JoinCallActivity,lauchFragment,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,JoinCallActivity,setImageButtonStateNew,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,JoinCallActivity,setImageButtonStateNew,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,StartCallActivity,onOptionsItemSelected,Missing default,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,StartCallActivity,goToMeetingInvitePage,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.components,ErrorInfoBar,displayErrorInfoBar,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.components,ErrorInfoBar,displayErrorInfoBar,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.components,ErrorInfoBar,displayErrorInfoBar,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.components,ErrorInfoBar,displayErrorInfoBar,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.fragments,GroupMeetingFragment,joinCall,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.fragments,GroupMeetingFragment,joinCall,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.fragments,TeamsMeetingFragment,joinTeamsCall,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling,AzureCalling,,,methodMetrics.csv,onCreate,4.0,1.0,0.0,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling,AzureCalling,,,methodMetrics.csv,initializeDependencies,6.0,1.0,0.0,,,,,,,,,,
communication-services-android-calling-hero,com.azure.samples.communication.calling,AzureCalling,,,methodMetrics.csv,createCallingContext,3.0,1.0,0.0,,,,,,,,,,
