Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
data-engineering-for-aws-immersion-day,software.amazon.flink.example,FlinkStreamingJob,createSink,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
data-engineering-for-aws-immersion-day,software.amazon.flink.example,FlinkStreamingJob,main,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
data-engineering-for-aws-immersion-day,software.amazon.flink.example,FlinkStreamingJob,main,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
data-engineering-for-aws-immersion-day,software.amazon.flink.example,FlinkStreamingJob,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
data-engineering-for-aws-immersion-day,software.amazon.flink.example,FlinkStreamingJob,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
data-engineering-for-aws-immersion-day,software.amazon.flink.example,RandomCutForestUDF,calculateAnomalyScore,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
data-engineering-for-aws-immersion-day,software.amazon.flink.example,RandomCutForestUDF,calculateAnomalyScore,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
data-engineering-for-aws-immersion-day,software.amazon.flink.example,RandomCutForestUDF,calculateAnomalyScore,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
data-engineering-for-aws-immersion-day,software.amazon.flink.example,RandomCutForestUDF,calculateAnomalyScore,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperator,RandomCutForestOperator,Long Parameter List,implementationCodeSmells.csv,,,,,,,,,,,,,,
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperator,initializeRcf,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperatorBuilder,build,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
data-engineering-for-aws-immersion-day,software.amazon.flink.example,DataSerializationSchema,,,methodMetrics.csv,deserialize,3.0,1.0,1.0,,,,,,,,,,
data-engineering-for-aws-immersion-day,software.amazon.flink.example,DataSerializationSchema,,,methodMetrics.csv,serialize,8.0,1.0,1.0,,,,,,,,,,
