Project Name,Package Name,Type Name,MethodName,LOC,CC,PC,source_file,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT,Code Smell
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,ApiGatewayResponse,ApiGatewayResponse,6.0,1.0,4.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,ApiGatewayResponse,getStatusCode,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,ApiGatewayResponse,getBody,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,ApiGatewayResponse,getHeaders,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,ApiGatewayResponse,isIsBase64Encoded,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,ApiGatewayResponse,builder,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,ApiGatewayResponse,setStatusCode,4.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,ApiGatewayResponse,setHeaders,4.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,ApiGatewayResponse,setRawBody,4.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,ApiGatewayResponse,setObjectBody,4.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,ApiGatewayResponse,setBinaryBody,5.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,ApiGatewayResponse,setBase64Encoded,4.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,ApiGatewayResponse,build,19.0,4.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,Builder,setStatusCode,4.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,Builder,setHeaders,4.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,Builder,setRawBody,4.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,Builder,setObjectBody,4.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,Builder,setBinaryBody,5.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,Builder,setBase64Encoded,4.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,Builder,build,19.0,4.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,Application,handlerMapping,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,Application,handlerAdapter,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,Application,main,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,StreamLambdaHandler,StreamLambdaHandler,2.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,StreamLambdaHandler,handleRequest,4.0,1.0,3.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_controller,HelloWorldController,helloName,11.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_controller,HelloWorldController,hello,11.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_controller,HelloWorldController,addItem,12.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_controller,HelloWorldController,removeItem,12.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_controller,HelloWorldController,error,11.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_controller,HelloWorldController,success,12.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_model,Error,Error,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_model,Error,getMessage,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_model,Error,setMessage,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_model,Item,getPk,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_model,Item,setPk,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_model,Item,getSk,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_model,Item,setSk,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.test,HelloWorldControllerTest,getCart,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.test,HelloWorldControllerTest,addToCart,2.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,ApiGatewayResponse,,93.0,,,typeMetrics.csv,12.0,0.0,13.0,13.0,16.0,0.0,0.0,0.1538461538461538,3.0,1.0,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,Builder,,66.0,,,typeMetrics.csv,8.0,0.0,7.0,7.0,10.0,0.0,0.0,0.0,0.0,1.0,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,Application,,11.0,,,typeMetrics.csv,0.0,0.0,3.0,3.0,3.0,0.0,0.0,-1.0,2.0,1.0,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,StreamLambdaHandler,,20.0,,,typeMetrics.csv,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_controller,HelloWorldController,,73.0,,,typeMetrics.csv,2.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_model,Error,,12.0,,,typeMetrics.csv,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_model,Item,,16.0,,,typeMetrics.csv,2.0,0.0,4.0,4.0,4.0,0.0,0.0,0.5,1.0,0.0,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.test,HelloWorldControllerTest,,9.0,,,typeMetrics.csv,2.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,Builder,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws,StreamLambdaHandler,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_controller,HelloWorldController,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.hello_world_model,Error,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
engineering-quickstarts-for-serverless-and-container-applications,com.scale_aws.test,HelloWorldControllerTest,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
