Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
feign-eureka,demo,HelloServerApplication,hello,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
feign-eureka,demo,HelloClientApplication,,,methodMetrics.csv,hello,3.0,1.0,0.0,,,,,,,,,,
feign-eureka,demo,HelloClientApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
feign-eureka,demo,HelloClientApplication,,,methodMetrics.csv,hello,0.0,1.0,0.0,,,,,,,,,,
feign-eureka,demo,HelloClient,,,methodMetrics.csv,hello,0.0,1.0,0.0,,,,,,,,,,
feign-eureka,demo,HelloServerApplication,,,methodMetrics.csv,hello,5.0,1.0,0.0,,,,,,,,,,
feign-eureka,demo,HelloServerApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
feign-eureka,demo,HelloClientApplication,,,typeMetrics.csv,,15.0,,,1.0,0.0,3.0,2.0,3.0,0.0,0.0,1.0,1.0,2.0
feign-eureka,demo,HelloClient,,,typeMetrics.csv,,3.0,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0
feign-eureka,demo,HelloServerApplication,,,typeMetrics.csv,,14.0,,,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0
