Project Name,Package Name,Type Name,MethodName,LOC,CC,PC,source_file,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT,Code Smell
gs-accessing-data-jpa,com.example.accessingdatajpa,AccessingDataJpaApplication,main,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-jpa,com.example.accessingdatajpa,AccessingDataJpaApplication,demo,29.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-jpa,com.example.accessingdatajpa,Customer,Customer,2.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-jpa,com.example.accessingdatajpa,Customer,Customer,4.0,1.0,2.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-jpa,com.example.accessingdatajpa,Customer,toString,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-jpa,com.example.accessingdatajpa,Customer,getId,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-jpa,com.example.accessingdatajpa,Customer,getFirstName,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-jpa,com.example.accessingdatajpa,Customer,getLastName,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-jpa,com.example.accessingdatajpa,CustomerRepository,findByLastName,0.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-jpa,com.example.accessingdatajpa,CustomerRepository,findById,0.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-jpa,com.example.accessingdatajpa,CustomerRepositoryTests,testFindByLastName,6.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-jpa,com.example.accessingdatajpa,AccessingDataJpaApplication,main,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-jpa,com.example.accessingdatajpa,AccessingDataJpaApplicationTests,contextLoads,2.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-jpa,com.example.accessingdatajpa,AccessingDataJpaApplication,,35.0,,,typeMetrics.csv,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,
gs-accessing-data-jpa,com.example.accessingdatajpa,Customer,,23.0,,,typeMetrics.csv,3.0,0.0,6.0,5.0,6.0,0.0,0.0,0.3333333333333333,1.0,0.0,
gs-accessing-data-jpa,com.example.accessingdatajpa,CustomerRepository,,4.0,,,typeMetrics.csv,0.0,0.0,2.0,0.0,2.0,0.0,0.0,-1.0,2.0,0.0,
gs-accessing-data-jpa,com.example.accessingdatajpa,CustomerRepositoryTests,,10.0,,,typeMetrics.csv,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,
gs-accessing-data-jpa,com.example.accessingdatajpa,AccessingDataJpaApplication,,5.0,,,typeMetrics.csv,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,
gs-accessing-data-jpa,com.example.accessingdatajpa,AccessingDataJpaApplicationTests,,4.0,,,typeMetrics.csv,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,
gs-accessing-data-jpa,com.example.accessingdatajpa,CustomerRepositoryTests,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
gs-accessing-data-jpa,com.example.accessingdatajpa,AccessingDataJpaApplication,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
gs-accessing-data-jpa,com.example.accessingdatajpa,AccessingDataJpaApplicationTests,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
