Project Name,Package Name,Type Name,MethodName,LOC,CC,PC,source_file,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT,Code Smell
gs-accessing-data-mysql,com.example.accessingdatamysql,AccessingDataMysqlApplication,main,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-mysql,com.example.accessingdatamysql,MainController,addNewUser,7.0,1.0,2.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-mysql,com.example.accessingdatamysql,MainController,getAllUsers,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-mysql,com.example.accessingdatamysql,User,getId,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-mysql,com.example.accessingdatamysql,User,setId,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-mysql,com.example.accessingdatamysql,User,getName,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-mysql,com.example.accessingdatamysql,User,setName,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-mysql,com.example.accessingdatamysql,User,getEmail,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-mysql,com.example.accessingdatamysql,User,setEmail,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-mysql,com.example.accessingdatamysql,AccessingDataMysqlApplicationTests,contextLoads,2.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-mysql,com.example.accessingdatamysql,AccessingDataMysqlApplication,main,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-mysql,com.example.accessingdatamysql,AccessingDataMysqlApplicationTests,contextLoads,2.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-accessing-data-mysql,com.example.accessingdatamysql,AccessingDataMysqlApplication,,5.0,,,typeMetrics.csv,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,2.0,1.0,
gs-accessing-data-mysql,com.example.accessingdatamysql,MainController,,13.0,,,typeMetrics.csv,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,
gs-accessing-data-mysql,com.example.accessingdatamysql,User,,23.0,,,typeMetrics.csv,3.0,0.0,6.0,6.0,6.0,0.0,0.0,0.5,1.0,0.0,
gs-accessing-data-mysql,com.example.accessingdatamysql,UserRepository,,2.0,,,typeMetrics.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,
gs-accessing-data-mysql,com.example.accessingdatamysql,AccessingDataMysqlApplicationTests,,5.0,,,typeMetrics.csv,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
gs-accessing-data-mysql,com.example.accessingdatamysql,AccessingDataMysqlApplication,,5.0,,,typeMetrics.csv,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,
gs-accessing-data-mysql,com.example.accessingdatamysql,AccessingDataMysqlApplicationTests,,5.0,,,typeMetrics.csv,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
gs-accessing-data-mysql,com.example.accessingdatamysql,MainController,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
gs-accessing-data-mysql,com.example.accessingdatamysql,UserRepository,,,,,designCodeSmells.csv,,,,,,,,,,,Unnecessary Abstraction
gs-accessing-data-mysql,com.example.accessingdatamysql,AccessingDataMysqlApplicationTests,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
gs-accessing-data-mysql,com.example.accessingdatamysql,AccessingDataMysqlApplication,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
gs-accessing-data-mysql,com.example.accessingdatamysql,AccessingDataMysqlApplicationTests,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
