Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
gs-accessing-data-neo4j,com.example.accessingdataneo4j,Person,toString,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-accessing-data-neo4j,com.example.accessingdataneo4j,AccessingDataNeo4jApplication,,,methodMetrics.csv,main,4.0,1.0,1.0,,,,,,,,,,
gs-accessing-data-neo4j,com.example.accessingdataneo4j,AccessingDataNeo4jApplication,,,methodMetrics.csv,demo,27.0,1.0,1.0,,,,,,,,,,
gs-accessing-data-neo4j,com.example.accessingdataneo4j,Person,,,methodMetrics.csv,Person,2.0,1.0,0.0,,,,,,,,,,
gs-accessing-data-neo4j,com.example.accessingdataneo4j,Person,,,methodMetrics.csv,Person,3.0,1.0,1.0,,,,,,,,,,
gs-accessing-data-neo4j,com.example.accessingdataneo4j,Person,,,methodMetrics.csv,worksWith,6.0,2.0,1.0,,,,,,,,,,
gs-accessing-data-neo4j,com.example.accessingdataneo4j,Person,,,methodMetrics.csv,toString,3.0,1.0,0.0,,,,,,,,,,
gs-accessing-data-neo4j,com.example.accessingdataneo4j,Person,,,methodMetrics.csv,getName,3.0,1.0,0.0,,,,,,,,,,
gs-accessing-data-neo4j,com.example.accessingdataneo4j,Person,,,methodMetrics.csv,setName,3.0,1.0,1.0,,,,,,,,,,
gs-accessing-data-neo4j,com.example.accessingdataneo4j,PersonRepository,,,methodMetrics.csv,findByName,0.0,1.0,1.0,,,,,,,,,,
gs-accessing-data-neo4j,com.example.accessingdataneo4j,PersonRepository,,,methodMetrics.csv,findByTeammatesName,0.0,1.0,1.0,,,,,,,,,,
gs-accessing-data-neo4j,com.example.accessingdataneo4j,AccessingDataNeo4jApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-accessing-data-neo4j,com.example.accessingdataneo4j,AccessingDataNeo4jApplicationTests,,,methodMetrics.csv,contextLoads,2.0,1.0,0.0,,,,,,,,,,
gs-accessing-data-neo4j,com.example.accessingdataneo4j,AccessingDataNeo4jApplication,,,typeMetrics.csv,,34.0,,,1.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0
gs-accessing-data-neo4j,com.example.accessingdataneo4j,Person,,,typeMetrics.csv,,28.0,,,3.0,1.0,6.0,5.0,7.0,0.0,0.0,0.3333333333333333,1.0,1.0
gs-accessing-data-neo4j,com.example.accessingdataneo4j,PersonRepository,,,typeMetrics.csv,,4.0,,,0.0,0.0,2.0,0.0,2.0,0.0,0.0,-1.0,1.0,0.0
gs-accessing-data-neo4j,com.example.accessingdataneo4j,AccessingDataNeo4jApplication,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0
gs-accessing-data-neo4j,com.example.accessingdataneo4j,AccessingDataNeo4jApplicationTests,,,typeMetrics.csv,,4.0,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0
gs-accessing-data-neo4j,com.example.accessingdataneo4j,Person,,Deficient Encapsulation,designCodeSmells.csv,,,,,,,,,,,,,,
gs-accessing-data-neo4j,com.example.accessingdataneo4j,AccessingDataNeo4jApplication,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-accessing-data-neo4j,com.example.accessingdataneo4j,AccessingDataNeo4jApplicationTests,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
