Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
gs-batch-processing,com.example.batchprocessing,BatchConfiguration,reader,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchConfiguration,writer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchConfiguration,step1,Long Parameter List,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchConfiguration,step1,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchConfiguration,step1,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,JobCompletionNotificationListener,afterJob,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchConfiguration,,,methodMetrics.csv,reader,3.0,1.0,0.0,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchConfiguration,,,methodMetrics.csv,processor,3.0,1.0,0.0,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchConfiguration,,,methodMetrics.csv,writer,3.0,1.0,1.0,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchConfiguration,,,methodMetrics.csv,importUserJob,3.0,1.0,3.0,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchConfiguration,,,methodMetrics.csv,step1,3.0,1.0,5.0,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchProcessingApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,JobCompletionNotificationListener,,,methodMetrics.csv,JobCompletionNotificationListener,3.0,1.0,1.0,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,JobCompletionNotificationListener,,,methodMetrics.csv,afterJob,6.0,2.0,1.0,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,PersonItemProcessor,,,methodMetrics.csv,process,7.0,1.0,1.0,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchConfigurationTest,,,methodMetrics.csv,setUp,3.0,1.0,0.0,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchConfigurationTest,,,methodMetrics.csv,tearDown,3.0,1.0,0.0,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchConfigurationTest,,,methodMetrics.csv,importUserJob_WhenJobEnds_ThenStatusCompleted,4.0,1.0,0.0,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchProcessingApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchConfiguration,,,typeMetrics.csv,,17.0,,,0.0,0.0,5.0,5.0,5.0,0.0,0.0,-1.0,0.0,2.0
gs-batch-processing,com.example.batchprocessing,BatchProcessingApplication,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,2.0,1.0
gs-batch-processing,com.example.batchprocessing,JobCompletionNotificationListener,,,typeMetrics.csv,,13.0,,,2.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0
gs-batch-processing,com.example.batchprocessing,PersonItemProcessor,,,typeMetrics.csv,,10.0,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
gs-batch-processing,com.example.batchprocessing,BatchConfigurationTest,,,typeMetrics.csv,,15.0,,,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.6666666666666666,0.0,0.0
gs-batch-processing,com.example.batchprocessing,BatchProcessingApplication,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0
gs-batch-processing,com.example.batchprocessing,BatchConfiguration,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchConfigurationTest,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-batch-processing,com.example.batchprocessing,BatchProcessingApplication,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
