Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
gs-managing-transactions,com.example.managingtransactions,AppRunner,run,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-managing-transactions,com.example.managingtransactions,AppRunner,run,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-managing-transactions,com.example.managingtransactions,AppRunner,run,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-managing-transactions,com.example.managingtransactions,AppRunner,run,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-managing-transactions,com.example.managingtransactions,AppRunner,run,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-managing-transactions,com.example.managingtransactions,AppRunner,,,methodMetrics.csv,AppRunner,3.0,1.0,1.0,,,,,,,,,,
gs-managing-transactions,com.example.managingtransactions,AppRunner,,,methodMetrics.csv,run,29.0,3.0,1.0,,,,,,,,,,
gs-managing-transactions,com.example.managingtransactions,BookingService,,,methodMetrics.csv,BookingService,3.0,1.0,1.0,,,,,,,,,,
gs-managing-transactions,com.example.managingtransactions,BookingService,,,methodMetrics.csv,book,6.0,2.0,1.0,,,,,,,,,,
gs-managing-transactions,com.example.managingtransactions,BookingService,,,methodMetrics.csv,findAllBookings,3.0,1.0,0.0,,,,,,,,,,
gs-managing-transactions,com.example.managingtransactions,ManagingTransactionsApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-managing-transactions,com.example.managingtransactions,ManagingTransactionsApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-managing-transactions,com.example.managingtransactions,ManagingTransactionsApplicationTests,,,methodMetrics.csv,contextLoads,2.0,1.0,0.0,,,,,,,,,,
gs-managing-transactions,com.example.managingtransactions,AppRunner,,,typeMetrics.csv,,36.0,,,2.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0
gs-managing-transactions,com.example.managingtransactions,BookingService,,,typeMetrics.csv,,16.0,,,2.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0
gs-managing-transactions,com.example.managingtransactions,ManagingTransactionsApplication,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,2.0,1.0
gs-managing-transactions,com.example.managingtransactions,ManagingTransactionsApplication,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0
gs-managing-transactions,com.example.managingtransactions,ManagingTransactionsApplicationTests,,,typeMetrics.csv,,4.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0
gs-managing-transactions,com.example.managingtransactions,AppRunner,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-managing-transactions,com.example.managingtransactions,ManagingTransactionsApplication,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-managing-transactions,com.example.managingtransactions,ManagingTransactionsApplicationTests,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
