Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
gs-producing-web-service,com.example.producingwebservice,CountryRepository,initData,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,CountryRepository,initData,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,CountryRepository,initData,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,CountryEndpoint,,,methodMetrics.csv,CountryEndpoint,3.0,1.0,1.0,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,CountryEndpoint,,,methodMetrics.csv,getCountry,5.0,1.0,1.0,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,CountryRepository,,,methodMetrics.csv,initData,20.0,1.0,0.0,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,CountryRepository,,,methodMetrics.csv,findCountry,4.0,1.0,1.0,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,ProducingWebServiceApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,WebServiceConfig,,,methodMetrics.csv,messageDispatcherServlet,6.0,1.0,1.0,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,WebServiceConfig,,,methodMetrics.csv,defaultWsdl11Definition,8.0,1.0,1.0,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,WebServiceConfig,,,methodMetrics.csv,countriesSchema,3.0,1.0,0.0,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,ProducingWebServiceApplicationIntegrationTests,,,methodMetrics.csv,init,4.0,1.0,0.0,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,ProducingWebServiceApplicationIntegrationTests,,,methodMetrics.csv,testSendAndReceive,6.0,1.0,0.0,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,ProducingWebServiceApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,ProducingWebServiceApplicationTests,,,methodMetrics.csv,contextLoads,2.0,1.0,0.0,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,CountryEndpoint,,,typeMetrics.csv,,12.0,,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
gs-producing-web-service,com.example.producingwebservice,CountryRepository,,,typeMetrics.csv,,27.0,,,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
gs-producing-web-service,com.example.producingwebservice,ProducingWebServiceApplication,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,2.0,1.0
gs-producing-web-service,com.example.producingwebservice,WebServiceConfig,,,typeMetrics.csv,,19.0,,,0.0,0.0,3.0,3.0,3.0,0.0,0.0,-1.0,0.0,0.0
gs-producing-web-service,com.example.producingwebservice,ProducingWebServiceApplicationIntegrationTests,,,typeMetrics.csv,,14.0,,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
gs-producing-web-service,com.example.producingwebservice,ProducingWebServiceApplication,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0
gs-producing-web-service,com.example.producingwebservice,ProducingWebServiceApplicationTests,,,typeMetrics.csv,,4.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0
gs-producing-web-service,com.example.producingwebservice,CountryEndpoint,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,WebServiceConfig,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,ProducingWebServiceApplicationIntegrationTests,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,ProducingWebServiceApplication,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-producing-web-service,com.example.producingwebservice,ProducingWebServiceApplicationTests,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
