Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
gs-reactive-rest-service,com.example.reactivewebservice,GreetingClient,getMessage,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-reactive-rest-service,com.example.reactivewebservice,GreetingHandler,hello,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-reactive-rest-service,com.example.reactivewebservice,GreetingRouterTest,testHello,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-reactive-rest-service,com.example.reactivewebservice,Greeting,,,methodMetrics.csv,Greeting,2.0,1.0,0.0,,,,,,,,,,
gs-reactive-rest-service,com.example.reactivewebservice,Greeting,,,methodMetrics.csv,Greeting,3.0,1.0,1.0,,,,,,,,,,
gs-reactive-rest-service,com.example.reactivewebservice,Greeting,,,methodMetrics.csv,getMessage,3.0,1.0,0.0,,,,,,,,,,
gs-reactive-rest-service,com.example.reactivewebservice,Greeting,,,methodMetrics.csv,setMessage,3.0,1.0,1.0,,,,,,,,,,
gs-reactive-rest-service,com.example.reactivewebservice,Greeting,,,methodMetrics.csv,toString,3.0,1.0,0.0,,,,,,,,,,
gs-reactive-rest-service,com.example.reactivewebservice,GreetingClient,,,methodMetrics.csv,GreetingClient,3.0,1.0,1.0,,,,,,,,,,
gs-reactive-rest-service,com.example.reactivewebservice,GreetingClient,,,methodMetrics.csv,getMessage,3.0,1.0,0.0,,,,,,,,,,
gs-reactive-rest-service,com.example.reactivewebservice,GreetingHandler,,,methodMetrics.csv,hello,3.0,1.0,1.0,,,,,,,,,,
gs-reactive-rest-service,com.example.reactivewebservice,GreetingRouter,,,methodMetrics.csv,route,3.0,1.0,1.0,,,,,,,,,,
gs-reactive-rest-service,com.example.reactivewebservice,ReactiveWebServiceApplication,,,methodMetrics.csv,main,5.0,1.0,1.0,,,,,,,,,,
gs-reactive-rest-service,com.example.reactivewebservice,GreetingRouterTest,,,methodMetrics.csv,testHello,6.0,1.0,0.0,,,,,,,,,,
gs-reactive-rest-service,com.example.reactivewebservice,Greeting,,,typeMetrics.csv,,17.0,,,1.0,0.0,5.0,5.0,5.0,0.0,0.0,0.4,2.0,0.0
gs-reactive-rest-service,com.example.reactivewebservice,GreetingClient,,,typeMetrics.csv,,9.0,,,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0
gs-reactive-rest-service,com.example.reactivewebservice,GreetingHandler,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0
gs-reactive-rest-service,com.example.reactivewebservice,GreetingRouter,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0
gs-reactive-rest-service,com.example.reactivewebservice,ReactiveWebServiceApplication,,,typeMetrics.csv,,7.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,2.0
gs-reactive-rest-service,com.example.reactivewebservice,GreetingRouterTest,,,typeMetrics.csv,,9.0,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
gs-reactive-rest-service,com.example.reactivewebservice,GreetingRouter,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-reactive-rest-service,com.example.reactivewebservice,GreetingRouterTest,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
