Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
gs-rest-service-cors,com.example.restservicecors,GreetingIntegrationTests,corsWithAnnotation,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,GreetingIntegrationTests,corsWithJavaconfig,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,Greeting,,,methodMetrics.csv,Greeting,4.0,1.0,0.0,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,Greeting,,,methodMetrics.csv,Greeting,4.0,1.0,2.0,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,Greeting,,,methodMetrics.csv,getId,3.0,1.0,0.0,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,Greeting,,,methodMetrics.csv,getContent,3.0,1.0,0.0,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,GreetingController,,,methodMetrics.csv,greeting,4.0,1.0,1.0,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,GreetingController,,,methodMetrics.csv,greetingWithJavaconfig,4.0,1.0,1.0,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,RestServiceCorsApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,RestServiceCorsApplication,,,methodMetrics.csv,corsConfigurer,8.0,1.0,0.0,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,RestServiceCorsApplication,,,methodMetrics.csv,addCorsMappings,3.0,1.0,1.0,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,GreetingIntegrationTests,,,methodMetrics.csv,corsWithAnnotation,7.0,1.0,0.0,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,GreetingIntegrationTests,,,methodMetrics.csv,corsWithJavaconfig,7.0,1.0,0.0,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,GreetingIntegrationTests,,,methodMetrics.csv,uri,3.0,1.0,1.0,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,RestServiceCorsApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,RestServiceCorsApplicationTests,,,methodMetrics.csv,contextLoads,2.0,1.0,0.0,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,Greeting,,,typeMetrics.csv,,18.0,,,2.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0
gs-rest-service-cors,com.example.restservicecors,GreetingController,,,typeMetrics.csv,,12.0,,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
gs-rest-service-cors,com.example.restservicecors,RestServiceCorsApplication,,,typeMetrics.csv,,13.0,,,0.0,0.0,3.0,3.0,3.0,0.0,0.0,-1.0,2.0,1.0
gs-rest-service-cors,com.example.restservicecors,GreetingIntegrationTests,,,typeMetrics.csv,,20.0,,,1.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0
gs-rest-service-cors,com.example.restservicecors,RestServiceCorsApplication,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0
gs-rest-service-cors,com.example.restservicecors,RestServiceCorsApplicationTests,,,typeMetrics.csv,,4.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0
gs-rest-service-cors,com.example.restservicecors,GreetingController,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,GreetingIntegrationTests,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,RestServiceCorsApplication,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-rest-service-cors,com.example.restservicecors,RestServiceCorsApplicationTests,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
