Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
gs-securing-web,com.example.securingweb,WebSecurityConfig,securityFilterChain,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-securing-web,com.example.securingweb,MvcConfig,,,methodMetrics.csv,addViewControllers,6.0,1.0,1.0,,,,,,,,,,
gs-securing-web,com.example.securingweb,SecuringWebApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-securing-web,com.example.securingweb,WebSecurityConfig,,,methodMetrics.csv,securityFilterChain,4.0,1.0,1.0,,,,,,,,,,
gs-securing-web,com.example.securingweb,WebSecurityConfig,,,methodMetrics.csv,userDetailsService,4.0,1.0,0.0,,,,,,,,,,
gs-securing-web,com.example.securingweb,SecuringWebApplicationTests,,,methodMetrics.csv,loginWithValidUserThenAuthenticated,4.0,1.0,0.0,,,,,,,,,,
gs-securing-web,com.example.securingweb,SecuringWebApplicationTests,,,methodMetrics.csv,loginWithInvalidUserThenUnauthenticated,4.0,1.0,0.0,,,,,,,,,,
gs-securing-web,com.example.securingweb,SecuringWebApplicationTests,,,methodMetrics.csv,accessUnsecuredResourceThenOk,3.0,1.0,0.0,,,,,,,,,,
gs-securing-web,com.example.securingweb,SecuringWebApplicationTests,,,methodMetrics.csv,accessSecuredResourceUnauthenticatedThenRedirectsToLogin,3.0,1.0,0.0,,,,,,,,,,
gs-securing-web,com.example.securingweb,SecuringWebApplicationTests,,,methodMetrics.csv,accessSecuredResourceAuthenticatedThenOk,4.0,1.0,0.0,,,,,,,,,,
gs-securing-web,com.example.securingweb,MvcConfig,,,methodMetrics.csv,addViewControllers,6.0,1.0,1.0,,,,,,,,,,
gs-securing-web,com.example.securingweb,SecuringWebApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-securing-web,com.example.securingweb,MvcConfig,,,typeMetrics.csv,,8.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0
gs-securing-web,com.example.securingweb,SecuringWebApplication,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,2.0,1.0
gs-securing-web,com.example.securingweb,WebSecurityConfig,,,typeMetrics.csv,,10.0,,,0.0,0.0,2.0,2.0,2.0,0.0,0.0,-1.0,0.0,0.0
gs-securing-web,com.example.securingweb,SecuringWebApplicationTests,,,typeMetrics.csv,,21.0,,,1.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0
gs-securing-web,com.example.securingweb,MvcConfig,,,typeMetrics.csv,,8.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0
gs-securing-web,com.example.securingweb,SecuringWebApplication,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0
gs-securing-web,com.example.securingweb,MvcConfig,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-securing-web,com.example.securingweb,WebSecurityConfig,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-securing-web,com.example.securingweb,SecuringWebApplicationTests,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-securing-web,com.example.securingweb,MvcConfig,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-securing-web,com.example.securingweb,SecuringWebApplication,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
