Project Name,Package Name,Type Name,MethodName,LOC,CC,PC,source_file,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT,Code Smell
gs-serving-web-content,com.example.servingwebcontent,GreetingController,greeting,4.0,1.0,2.0,methodMetrics.csv,,,,,,,,,,,
gs-serving-web-content,com.example.servingwebcontent,ServingWebContentApplication,main,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-serving-web-content,com.example.servingwebcontent,ServingWebContentApplicationTest,homePage,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-serving-web-content,com.example.servingwebcontent,ServingWebContentApplicationTest,greeting,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-serving-web-content,com.example.servingwebcontent,ServingWebContentApplicationTest,greetingWithUser,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-serving-web-content,com.example.servingwebcontent,ServingWebContentApplication,main,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-serving-web-content,com.example.servingwebcontent,ServingWebContentApplicationTests,contextLoads,2.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-serving-web-content,com.example.servingwebcontent,GreetingController,,6.0,,,typeMetrics.csv,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,
gs-serving-web-content,com.example.servingwebcontent,ServingWebContentApplication,,5.0,,,typeMetrics.csv,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,2.0,1.0,
gs-serving-web-content,com.example.servingwebcontent,ServingWebContentApplicationTest,,12.0,,,typeMetrics.csv,1.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,
gs-serving-web-content,com.example.servingwebcontent,ServingWebContentApplication,,5.0,,,typeMetrics.csv,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,
gs-serving-web-content,com.example.servingwebcontent,ServingWebContentApplicationTests,,4.0,,,typeMetrics.csv,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,
gs-serving-web-content,com.example.servingwebcontent,GreetingController,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
gs-serving-web-content,com.example.servingwebcontent,ServingWebContentApplicationTest,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
gs-serving-web-content,com.example.servingwebcontent,ServingWebContentApplication,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
gs-serving-web-content,com.example.servingwebcontent,ServingWebContentApplicationTests,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
