Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
gs-spring-boot-docker,(default package),MavenWrapperDownloader,main,Empty catch clause,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-boot-docker,(default package),MavenWrapperDownloader,main,Long Identifier,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-boot-docker,(default package),MavenWrapperDownloader,main,Empty catch clause,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-boot-docker,(default package),MavenWrapperDownloader,main,Long Identifier,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-boot-docker,(default package),MavenWrapperDownloader,,,methodMetrics.csv,main,46.0,5.0,1.0,,,,,,,,,,
gs-spring-boot-docker,(default package),MavenWrapperDownloader,,,methodMetrics.csv,downloadFileFromURL,19.0,2.0,2.0,,,,,,,,,,
gs-spring-boot-docker,(default package),MavenWrapperDownloader,,,methodMetrics.csv,getPasswordAuthentication,3.0,1.0,0.0,,,,,,,,,,
gs-spring-boot-docker,(default package),MavenWrapperDownloader,,,methodMetrics.csv,main,46.0,5.0,1.0,,,,,,,,,,
gs-spring-boot-docker,(default package),MavenWrapperDownloader,,,methodMetrics.csv,downloadFileFromURL,19.0,2.0,2.0,,,,,,,,,,
gs-spring-boot-docker,(default package),MavenWrapperDownloader,,,methodMetrics.csv,getPasswordAuthentication,3.0,1.0,0.0,,,,,,,,,,
gs-spring-boot-docker,hello,Application,,,methodMetrics.csv,home,3.0,1.0,0.0,,,,,,,,,,
gs-spring-boot-docker,hello,Application,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-spring-boot-docker,hello,HelloWorldConfigurationTests,,,methodMetrics.csv,testGreeting,4.0,1.0,0.0,,,,,,,,,,
gs-spring-boot-docker,hello,Application,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-spring-boot-docker,(default package),MavenWrapperDownloader,,,typeMetrics.csv,,84.0,,,5.0,0.0,3.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0
gs-spring-boot-docker,(default package),MavenWrapperDownloader,,,typeMetrics.csv,,84.0,,,5.0,0.0,3.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0
gs-spring-boot-docker,hello,Application,,,typeMetrics.csv,,8.0,,,0.0,0.0,2.0,2.0,2.0,0.0,0.0,-1.0,2.0,1.0
gs-spring-boot-docker,hello,HelloWorldConfigurationTests,,,typeMetrics.csv,,8.0,,,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
gs-spring-boot-docker,hello,Application,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0
gs-spring-boot-docker,(default package),MavenWrapperDownloader,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-boot-docker,(default package),MavenWrapperDownloader,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-boot-docker,hello,HelloWorldConfigurationTests,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-boot-docker,hello,Application,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
