Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
gs-spring-boot,com.example.springboot,HelloControllerTest,getHello,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-boot,com.example.springboot,Application,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-spring-boot,com.example.springboot,Application,,,methodMetrics.csv,commandLineRunner,11.0,2.0,1.0,,,,,,,,,,
gs-spring-boot,com.example.springboot,HelloController,,,methodMetrics.csv,index,3.0,1.0,0.0,,,,,,,,,,
gs-spring-boot,com.example.springboot,HelloControllerITest,,,methodMetrics.csv,getHello,4.0,1.0,0.0,,,,,,,,,,
gs-spring-boot,com.example.springboot,HelloControllerTest,,,methodMetrics.csv,getHello,3.0,1.0,0.0,,,,,,,,,,
gs-spring-boot,com.example.springboot,Application,,,methodMetrics.csv,main,9.0,2.0,1.0,,,,,,,,,,
gs-spring-boot,com.example.springboot,HelloController,,,methodMetrics.csv,index,3.0,1.0,0.0,,,,,,,,,,
gs-spring-boot,com.example.springboot,Application,,,typeMetrics.csv,,16.0,,,0.0,0.0,2.0,2.0,3.0,0.0,0.0,-1.0,2.0,1.0
gs-spring-boot,com.example.springboot,HelloController,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0
gs-spring-boot,com.example.springboot,HelloControllerITest,,,typeMetrics.csv,,7.0,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
gs-spring-boot,com.example.springboot,HelloControllerTest,,,typeMetrics.csv,,6.0,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
gs-spring-boot,com.example.springboot,Application,,,typeMetrics.csv,,11.0,,,0.0,0.0,1.0,1.0,2.0,0.0,0.0,-1.0,0.0,1.0
gs-spring-boot,com.example.springboot,HelloController,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0
gs-spring-boot,com.example.springboot,HelloController,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-boot,com.example.springboot,HelloControllerITest,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-boot,com.example.springboot,HelloControllerTest,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-boot,com.example.springboot,Application,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-boot,com.example.springboot,HelloController,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
