Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
gs-spring-data-reactive-redis,com.example.demo,CoffeeConfiguration,redisOperations,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-data-reactive-redis,com.example.demo,CoffeeLoader,loadData,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-data-reactive-redis,com.example.demo,CoffeeConfiguration,,,methodMetrics.csv,redisOperations,6.0,1.0,1.0,,,,,,,,,,
gs-spring-data-reactive-redis,com.example.demo,CoffeeController,,,methodMetrics.csv,CoffeeController,3.0,1.0,1.0,,,,,,,,,,
gs-spring-data-reactive-redis,com.example.demo,CoffeeController,,,methodMetrics.csv,all,3.0,1.0,0.0,,,,,,,,,,
gs-spring-data-reactive-redis,com.example.demo,CoffeeLoader,,,methodMetrics.csv,CoffeeLoader,4.0,1.0,2.0,,,,,,,,,,
gs-spring-data-reactive-redis,com.example.demo,CoffeeLoader,,,methodMetrics.csv,loadData,3.0,1.0,0.0,,,,,,,,,,
gs-spring-data-reactive-redis,com.example.demo,DemoApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-spring-data-reactive-redis,com.example.demo,DemoApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-spring-data-reactive-redis,com.example.demo,CoffeeConfiguration,,,typeMetrics.csv,,8.0,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0
gs-spring-data-reactive-redis,com.example.demo,CoffeeController,,,typeMetrics.csv,,9.0,,,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
gs-spring-data-reactive-redis,com.example.demo,CoffeeLoader,,,typeMetrics.csv,,11.0,,,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
gs-spring-data-reactive-redis,com.example.demo,DemoApplication,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,2.0,1.0
gs-spring-data-reactive-redis,com.example.demo,DemoApplication,,,typeMetrics.csv,,5.0,,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0
gs-spring-data-reactive-redis,com.example.demo,CoffeeConfiguration,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-data-reactive-redis,com.example.demo,CoffeeController,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-data-reactive-redis,com.example.demo,CoffeeLoader,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
gs-spring-data-reactive-redis,com.example.demo,DemoApplication,,Unutilized Abstraction,designCodeSmells.csv,,,,,,,,,,,,,,
