Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
gs-uploading-files,com.example.uploadingfiles,FileUploadController,listUploadedFiles,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,FileUploadController,serveFile,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,FileUploadIntegrationTests,shouldDownloadFile,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,FileUploadIntegrationTests,shouldDownloadFile,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,FileUploadTests,shouldListAllFiles,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,FileUploadTests,shouldSaveUploadedFile,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,loadAll,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,loadAll,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,FileUploadController,,,methodMetrics.csv,FileUploadController,3.0,1.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,FileUploadController,,,methodMetrics.csv,listUploadedFiles,4.0,1.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,FileUploadController,,,methodMetrics.csv,serveFile,5.0,2.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,FileUploadController,,,methodMetrics.csv,handleFileUpload,5.0,1.0,2.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,FileUploadController,,,methodMetrics.csv,handleStorageFileNotFound,3.0,1.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,UploadingFilesApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,UploadingFilesApplication,,,methodMetrics.csv,init,7.0,1.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,FileUploadIntegrationTests,,,methodMetrics.csv,shouldUploadFile,9.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,FileUploadIntegrationTests,,,methodMetrics.csv,shouldDownloadFile,8.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,FileUploadTests,,,methodMetrics.csv,shouldListAllFiles,4.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,FileUploadTests,,,methodMetrics.csv,shouldSaveUploadedFile,5.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,FileUploadTests,,,methodMetrics.csv,should404WhenMissingFile,4.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles,UploadingFilesApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,,,methodMetrics.csv,FileSystemStorageService,6.0,2.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,,,methodMetrics.csv,store,17.0,3.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,,,methodMetrics.csv,loadAll,8.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,,,methodMetrics.csv,load,3.0,1.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,,,methodMetrics.csv,loadAsResource,15.0,2.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,,,methodMetrics.csv,deleteAll,3.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,,,methodMetrics.csv,init,8.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,StorageException,,,methodMetrics.csv,StorageException,3.0,1.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,StorageException,,,methodMetrics.csv,StorageException,3.0,1.0,2.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,StorageFileNotFoundException,,,methodMetrics.csv,StorageFileNotFoundException,3.0,1.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,StorageFileNotFoundException,,,methodMetrics.csv,StorageFileNotFoundException,3.0,1.0,2.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,StorageProperties,,,methodMetrics.csv,getLocation,3.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,StorageProperties,,,methodMetrics.csv,setLocation,3.0,1.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,,,methodMetrics.csv,init,0.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,,,methodMetrics.csv,store,0.0,1.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,,,methodMetrics.csv,loadAll,0.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,,,methodMetrics.csv,load,0.0,1.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,,,methodMetrics.csv,loadAsResource,0.0,1.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,,,methodMetrics.csv,deleteAll,0.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,,,methodMetrics.csv,init,5.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,,,methodMetrics.csv,emptyUploadLocation,8.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,,,methodMetrics.csv,loadNonExistent,3.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,,,methodMetrics.csv,saveAndLoad,4.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,,,methodMetrics.csv,saveRelativePathNotPermitted,6.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,,,methodMetrics.csv,saveAbsolutePathNotPermitted,6.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,,,methodMetrics.csv,saveAbsolutePathInFilenamePermitted,5.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,,,methodMetrics.csv,savePermitted,3.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,,,methodMetrics.csv,FileSystemStorageService,6.0,2.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,,,methodMetrics.csv,store,11.0,2.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,,,methodMetrics.csv,loadAll,8.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,,,methodMetrics.csv,load,3.0,1.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,,,methodMetrics.csv,loadAsResource,15.0,2.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,,,methodMetrics.csv,deleteAll,3.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,,,methodMetrics.csv,init,8.0,1.0,0.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,StorageException,,,methodMetrics.csv,StorageException,3.0,1.0,1.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,StorageException,,,methodMetrics.csv,StorageException,3.0,1.0,2.0,,,,,,,,,,
gs-uploading-files,com.example.uploadingfiles.storage,StorageFileNotFoundException,,,methodMetrics.csv,StorageFileNotFoundException,3.0,1.0,1.0,,,,,,,,,,
