Project Name,Package Name,Type Name,MethodName,LOC,CC,PC,source_file,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT,Code Smell
gs-validating-form-input,com.example.validatingforminput,PersonForm,getName,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,PersonForm,setName,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,PersonForm,getAge,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,PersonForm,setAge,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,PersonForm,toString,3.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,ValidatingFormInputApplication,main,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,WebController,addViewControllers,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,WebController,showForm,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,WebController,checkPersonInfo,6.0,2.0,2.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,ApplicationMockMvcTests,checkPersonInfoWhenNameMissingNameThenFailure,4.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,ApplicationMockMvcTests,checkPersonInfoWhenNameTooShortThenFailure,4.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,ApplicationMockMvcTests,checkPersonInfoWhenAgeMissingThenFailure,4.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,ApplicationMockMvcTests,checkPersonInfoWhenAgeTooYoungThenFailure,4.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,ApplicationMockMvcTests,checkPersonInfoWhenValidRequestThenSuccess,4.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,ValidatingFormInputApplication,main,3.0,1.0,1.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,ValidatingFormInputApplicationTests,contextLoads,2.0,1.0,0.0,methodMetrics.csv,,,,,,,,,,,
gs-validating-form-input,com.example.validatingforminput,PersonForm,,19.0,,,typeMetrics.csv,2.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,
gs-validating-form-input,com.example.validatingforminput,ValidatingFormInputApplication,,5.0,,,typeMetrics.csv,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,2.0,1.0,
gs-validating-form-input,com.example.validatingforminput,WebController,,14.0,,,typeMetrics.csv,0.0,0.0,3.0,3.0,4.0,0.0,0.0,-1.0,0.0,1.0,
gs-validating-form-input,com.example.validatingforminput,ApplicationMockMvcTests,,23.0,,,typeMetrics.csv,1.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,
gs-validating-form-input,com.example.validatingforminput,ValidatingFormInputApplication,,5.0,,,typeMetrics.csv,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,
gs-validating-form-input,com.example.validatingforminput,ValidatingFormInputApplicationTests,,4.0,,,typeMetrics.csv,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,
gs-validating-form-input,com.example.validatingforminput,WebController,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
gs-validating-form-input,com.example.validatingforminput,ApplicationMockMvcTests,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
gs-validating-form-input,com.example.validatingforminput,ValidatingFormInputApplication,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
gs-validating-form-input,com.example.validatingforminput,ValidatingFormInputApplicationTests,,,,,designCodeSmells.csv,,,,,,,,,,,Unutilized Abstraction
