Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
ms-identity-docs-code-java,com.contoso.api,ApiController,me,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.contoso.api,ApiController,hello,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.contoso.oboapi,ApiController,me,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.example.msaldemo,MainActivity,onCreate,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.example.msaldemo,MainActivity,attachFragment,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.example.msaldemo,MSGraphRequestWrapper,callGraphAPIUsingVolley,Long Parameter List,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.example.msaldemo,MSGraphRequestWrapper,callGraphAPIUsingVolley,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.example.msaldemo,MSGraphRequestWrapper,callGraphAPIUsingVolley,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.example.msaldemo,MSGraphRequestWrapper,callGraphAPIUsingVolley,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.example.msaldemo,SingleAccountModeFragment,onCreateView,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.example.msaldemo,SingleAccountModeFragment,callGraphAPI,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.example.msaldemo,ExampleUnitTest,addition_isCorrect,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.example.msaldemo,ExampleUnitTest,addition_isCorrect,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.example.msaldemo,ExampleUnitTest,addition_isCorrect,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.contoso.cli,App,main,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.contoso.cli,App,main,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.contoso.cli,App,main,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.contoso.cli,App,main,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.contoso.cli,App,main,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.contoso.webapp,IndexController,graphPage,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.contoso.webapp,IndexController,adminPage,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
ms-identity-docs-code-java,com.contoso.api,ApiApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
ms-identity-docs-code-java,com.contoso.api,ApiController,,,methodMetrics.csv,me,5.0,1.0,1.0,,,,,,,,,,
ms-identity-docs-code-java,com.contoso.api,ApiApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
ms-identity-docs-code-java,com.contoso.api,ApiController,,,methodMetrics.csv,hello,3.0,1.0,0.0,,,,,,,,,,
ms-identity-docs-code-java,com.contoso.oboapi,ApiApplication,,,methodMetrics.csv,main,3.0,1.0,1.0,,,,,,,,,,
ms-identity-docs-code-java,com.contoso.oboapi,ApiController,,,methodMetrics.csv,me,6.0,1.0,1.0,,,,,,,,,,
ms-identity-docs-code-java,com.example.msaldemo,ExampleInstrumentedTest,,,methodMetrics.csv,useAppContext,4.0,1.0,0.0,,,,,,,,,,
ms-identity-docs-code-java,com.example.msaldemo,FirstFragment,,,methodMetrics.csv,onCreateView,4.0,1.0,3.0,,,,,,,,,,
ms-identity-docs-code-java,com.example.msaldemo,FirstFragment,,,methodMetrics.csv,onViewCreated,9.0,1.0,2.0,,,,,,,,,,
