Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
msk-config-providers,com.amazonaws.kafka.config.providers.common,AwsServiceConfigProvider,parseKey,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers.common,AwsServiceConfigProvider,parseKeyOptions,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers.common,AwsServiceConfigProvider,parseKeyOptions,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers.common,AwsServiceConfigProvider,parseKeyOptions,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers.common,CommonConfigUtils,getConfig,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers,S3ImportConfig,config,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers,S3ImportConfigProvider,get,Complex Conditional,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers,S3ImportConfigProvider,get,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers,SecretsManagerConfig,config,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers,SecretsManagerConfigProvider,get,Complex Conditional,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers,SecretsManagerConfigProvider,handleNotFoundByStrategy,Complex Conditional,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers,SsmParamStoreConfig,config,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers,SsmParamStoreConfigProvider,get,Complex Conditional,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers,SsmParamStoreConfigProvider,handleNotFoundByStrategy,Complex Conditional,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers,MockedSecretsManagerConfigProvider,checkOrInitSecretManagerClient,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers,MockedSecretsManagerConfigProvider,checkOrInitSecretManagerClient,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers,MockedSecretsManagerConfigProvider,checkOrInitSecretManagerClient,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
msk-config-providers,com.amazonaws.kafka.config.providers,MockedSecretsManagerConfigProvider,checkOrInitSecretManagerClient,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
