Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
open-liberty-on-aks,cafe.model,CafeRepository,CafeRepository,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
open-liberty-on-aks,cafe.model,CafeRepository,CafeRepository,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,equals,Complex Conditional,implementationCodeSmells.csv,,,,,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,equals,Complex Conditional,implementationCodeSmells.csv,,,,,,,,,,,,,,
open-liberty-on-aks,cafe.web.view,Cafe,getAllCoffees,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
open-liberty-on-aks,cafe.web.view,Cafe,getAllCoffees,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
open-liberty-on-aks,cafe.model,CafeRepository,,,methodMetrics.csv,getAllCoffees,4.0,1.0,0.0,,,,,,,,,,
open-liberty-on-aks,cafe.model,CafeRepository,,,methodMetrics.csv,persistCoffee,5.0,1.0,1.0,,,,,,,,,,
open-liberty-on-aks,cafe.model,CafeRepository,,,methodMetrics.csv,removeCoffeeById,5.0,1.0,1.0,,,,,,,,,,
open-liberty-on-aks,cafe.model,CafeRepository,,,methodMetrics.csv,findCoffeeById,4.0,1.0,1.0,,,,,,,,,,
open-liberty-on-aks,cafe.model,CafeRepository,,,methodMetrics.csv,CafeRepository,6.0,1.0,0.0,,,,,,,,,,
open-liberty-on-aks,cafe.model,CafeRepository,,,methodMetrics.csv,getAllCoffees,4.0,1.0,0.0,,,,,,,,,,
open-liberty-on-aks,cafe.model,CafeRepository,,,methodMetrics.csv,persistCoffee,6.0,1.0,1.0,,,,,,,,,,
open-liberty-on-aks,cafe.model,CafeRepository,,,methodMetrics.csv,removeCoffeeById,4.0,1.0,1.0,,,,,,,,,,
open-liberty-on-aks,cafe.model,CafeRepository,,,methodMetrics.csv,findCoffeeById,4.0,1.0,1.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,Coffee,2.0,1.0,0.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,Coffee,4.0,1.0,2.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,getName,3.0,1.0,0.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,setName,3.0,1.0,1.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,getPrice,3.0,1.0,0.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,setPrice,3.0,1.0,1.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,getId,3.0,1.0,0.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,setId,3.0,1.0,1.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,hashCode,5.0,1.0,0.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,equals,10.0,3.0,1.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,toString,3.0,1.0,0.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,Coffee,2.0,1.0,0.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,Coffee,4.0,1.0,2.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,getName,3.0,1.0,0.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,setName,3.0,1.0,1.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,getPrice,3.0,1.0,0.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,setPrice,3.0,1.0,1.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,getId,3.0,1.0,0.0,,,,,,,,,,
open-liberty-on-aks,cafe.model.entity,Coffee,,,methodMetrics.csv,setId,3.0,1.0,1.0,,,,,,,,,,
