Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
pubsub-dapr-aks-java,com.azdaks.accountservice.controller,TransferEventController,handleTransferRequest,Long Identifier,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,com.azdaks.fraudservice.controller,TransferEventController,handleTransferRequest,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,com.azdaks.notificationservice.controller,TransferEventController,handleTransferRequest,Long Identifier,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,com.azdaks.publicapiservice.config,AccountServiceConfiguration,getObjectMapper,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,com.azdaks.publicapiservice.controller,AccountsController,createAccount,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,com.azdaks.publicapiservice.controller,StatesController,handleStateRequest,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,com.azdaks.publicapiservice.controller,TransfersController,createTransferRequest,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,com.azdaks.publicapiservice.controller,TransfersController,createTransferRequest,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,com.azdaks.publicapiservice.model,AccountResponse,generateId,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,com.azdaks.publicapiservice.model,TransferRequest,generateId,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e.api,ApiRequest,buildPostRequest,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e.endpoint,CreateFraudMoneyTransferEndpoint,createRequest,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e.endpoint,CreateMoneyTransferEndpoint,createRequest,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,Main,main,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,Main,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,Main,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,Main,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,Main,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testApplicationIsRunning,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testApplicationIsRunning,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testApplicationIsRunning,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testApplicationIsRunning,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateAccount,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateAccount,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateAccount,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateAccount,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateMoneyTransfer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateMoneyTransfer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateMoneyTransfer,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateMoneyTransfer,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testMoneyTransferCompletion,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testMoneyTransferCompletion,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testMoneyTransferCompletion,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testMoneyTransferCompletion,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testMoneyTransferCompletion,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testMoneyTransferCompletion,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
