Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
quarkus-azure,io.quarkus.sample,Todo,Todo,Long Parameter List,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,Todo,toString,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testInitialItems,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testInitialItems,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testInitialItems,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testAddingAnItem,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testAddingAnItem,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testAddingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testAddingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testAddingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testUpdatingAnItem,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testUpdatingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testUpdatingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testUpdatingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeletingAnItem,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeletingAnItem,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeletingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeletingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeletingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeleteCompleted,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeleteCompleted,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeleteCompleted,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,Todo,Todo,Long Parameter List,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,Todo,toString,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testInitialItems,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testInitialItems,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testInitialItems,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testAddingAnItem,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testAddingAnItem,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testAddingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testAddingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testAddingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testUpdatingAnItem,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testUpdatingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testUpdatingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testUpdatingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeletingAnItem,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeletingAnItem,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeletingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeletingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeletingAnItem,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeleteCompleted,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeleteCompleted,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,io.quarkus.sample,TodoResourceTest,testDeleteCompleted,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,(default package),MavenWrapperDownloader,main,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
quarkus-azure,com.example,ProfilePage,getProfile,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
