Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,getProduct,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,putProduct,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,deleteProduct,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,getAllProduct,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,getProduct,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,putProduct,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,deleteProduct,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,DynamoProductDao,getAllProduct,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.dao,ProductMapper,productToDynamoDb,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.entity,Product,setPrice,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,handleRequest,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,handleRequest,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,handleRequest,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,CreateProductHandler,handleRequest,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,handleRequest,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,handleRequest,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,handleRequest,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
serverless-java-frameworks-samples,software.amazonaws.example.product.handler,DeleteProductHandler,handleRequest,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
