Project Name,Package Name,Type Name,Method Name,Code Smell,source_file,MethodName,LOC,CC,PC,NOF,NOPF,NOM,NOPM,WMC,NC,DIT,LCOM,FANIN,FANOUT
sleuth-issues,com.bracso.test.sleuth.webclient,Employee,firstEmployee,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.bracso.test.sleuth.webclient,Employee,secondEmployee,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.bracso.test.sleuth.webclient,Employee,thirdEmployee,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.bracso.test.sleuth.webclient,Employee,newEmployee,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.bracso.test.sleuth.webclient,Employee,hashCode,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.bracso.test.sleuth.webclient,Employee,hashCode,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.bracso.test.sleuth.webclient,SleuthTest,testWebClient,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,(default package),MavenWrapperDownloader,main,Empty catch clause,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,(default package),MavenWrapperDownloader,main,Long Identifier,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,(default package),MavenWrapperDownloader,main,Empty catch clause,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,(default package),MavenWrapperDownloader,main,Long Identifier,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,(default package),MavenWrapperDownloader,main,Empty catch clause,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,(default package),MavenWrapperDownloader,main,Long Identifier,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,(default package),MavenWrapperDownloader,main,Empty catch clause,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,(default package),MavenWrapperDownloader,main,Long Identifier,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,(default package),MavenWrapperDownloader,main,Empty catch clause,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,(default package),MavenWrapperDownloader,main,Long Identifier,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.example.demo,DemoApplicationTests,thenAllPostWebClientSpansAreEqualToFirstSpanInTheController,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.example.demo,DemoApplicationTests,thenAllWebClientSpansHaveSameParentId,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.example.demo,DemoApplicationTests,service,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.example.demo,DemoApplicationTests,service,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.example.demo,Issue1990ApplicationTests,contextLoads,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.example.demo,IssueIT,should_propagate_trace_id,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.example.demo,IssueIT,traceIdFromString,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.thagul.testcbr4j.controller,MainController,test,Magic Number,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.example.w3c,Issue1900Application,invoke,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
sleuth-issues,com.example.w3c,Issue1900Application,invokeRemote,Long Statement,implementationCodeSmells.csv,,,,,,,,,,,,,,
