"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\CatalogItemEntity.java","4","3","Unused import 'javax.persistence.*'","Code Style","UnnecessaryImport"
"2","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\CatalogItemEntity.java","3","28","Avoid unnecessary constructors - the compiler will generate these for you","Code Style","UnnecessaryConstructor"
"3","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\CatalogItemEntity.java","3","28","Document empty constructor","Documentation","UncommentedEmptyConstructor"
"1","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\InventoryEntity.java","3","32","Avoid unnecessary constructors - the compiler will generate these for you","Code Style","UnnecessaryConstructor"
"2","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\InventoryEntity.java","3","32","Document empty constructor","Documentation","UncommentedEmptyConstructor"
"1","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\Order.java","3","48","Avoid unnecessary constructors - the compiler will generate these for you","Code Style","UnnecessaryConstructor"
"2","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\Order.java","3","48","Document empty constructor","Documentation","UncommentedEmptyConstructor"
"1","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\OrderItem.java","3","25","Avoid unnecessary constructors - the compiler will generate these for you","Code Style","UnnecessaryConstructor"
"2","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\OrderItem.java","3","25","Document empty constructor","Documentation","UncommentedEmptyConstructor"
"1","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\ProductImpl.java","3","22","Avoid unnecessary constructors - the compiler will generate these for you","Code Style","UnnecessaryConstructor"
"2","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\ProductImpl.java","3","22","Document empty constructor","Documentation","UncommentedEmptyConstructor"
"1","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\Promotion.java","3","9","Document empty constructor","Documentation","UncommentedEmptyConstructor"
"1","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\ShoppingCart.java","3","26","Avoid unnecessary constructors - the compiler will generate these for you","Code Style","UnnecessaryConstructor"
"2","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\ShoppingCart.java","3","26","Document empty constructor","Documentation","UncommentedEmptyConstructor"
"1","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\ShoppingCartItem.java","3","14","Avoid unnecessary constructors - the compiler will generate these for you","Code Style","UnnecessaryConstructor"
"2","com.redhat.coolstore.model","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\model\ShoppingCartItem.java","3","14","Document empty constructor","Documentation","UncommentedEmptyConstructor"
"1","com.redhat.coolstore.rest","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\rest\CartEndpoint.java","3","28","Avoid the use of value in annotations when its the only element","Code Style","UnnecessaryAnnotationValueElement"
"1","com.redhat.coolstore.rest","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\rest\ProductEndpoint.java","4","8","Unused import 'javax.ws.rs.*'","Code Style","UnnecessaryImport"
"1","com.redhat.coolstore.service","workshop-migrate-jboss-on-app-service\src\main\java\com\redhat\coolstore\service\CatalogService.java","4","16","Unused import 'com.redhat.coolstore.model.*'","Code Style","UnnecessaryImport"
