Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.configuration,OpenApiConfiguration,OpenApiConfiguration,3,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.configuration,OpenApiConfiguration,webSecurityCustomizer,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.configuration,OpenApiConfiguration,customOpenAPI,13,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.configuration,RFC3339DateFormat,RFC3339DateFormat,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.configuration,RFC3339DateFormat,parse,3,1,2
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.configuration,RFC3339DateFormat,format,3,1,3
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.configuration,RFC3339DateFormat,clone,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.configuration,WebConfiguration,webConfigurer,8,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.configuration,WebConfiguration,addCorsMappings,3,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,TodoItem,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,id,4,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,getId,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,setId,3,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,listId,4,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,getListId,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,setListId,3,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,name,4,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,getName,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,setName,3,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,description,4,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,getDescription,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,setDescription,3,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,state,4,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,getState,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,setState,3,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,dueDate,4,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,getDueDate,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,setDueDate,3,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,completedDate,4,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,getCompletedDate,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,setCompletedDate,3,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,equals,10,3,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,hashCode,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,toString,13,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoItem,toIndentedString,6,2,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoList,id,4,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoList,getId,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoList,setId,3,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoList,name,4,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoList,getName,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoList,setName,3,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoList,description,4,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoList,getDescription,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoList,setDescription,3,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoList,equals,10,3,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoList,hashCode,3,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoList,toString,9,1,0
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.model,TodoList,toIndentedString,6,2,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.repository,TodoItemRepository,findByListId,0,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.repository,TodoItemRepository,findByListId,0,1,2
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.repository,TodoItemRepository,findByListIdAndState,0,1,3
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo,SimpleTodoApplication,main,3,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.web,TodoListsController,TodoListsController,4,1,2
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.web,TodoListsController,createItem,12,2,2
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.web,TodoListsController,createList,5,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.web,TodoListsController,deleteItemById,10,2,2
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.web,TodoListsController,deleteListById,10,2,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.web,TodoListsController,getItemById,3,1,2
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.web,TodoListsController,getItemsByListId,9,2,3
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.web,TodoListsController,getItemsByListIdAndState,3,1,4
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.web,TodoListsController,getListById,3,1,1
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.web,TodoListsController,getLists,9,3,2
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.web,TodoListsController,updateItemById,7,1,3
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.web,TodoListsController,updateItemsStateByListId,7,2,3
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.web,TodoListsController,updateListById,3,1,2
ASA-Samples-Restful-Application,com.microsoft.azure.simpletodo.web,TodoListsController,getTodoItem,19,4,2
