Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
ApplicationInsights-Java-Samples,com.example,ManualTracePropagation,main,8,1,1
ApplicationInsights-Java-Samples,com.example,ManualTracePropagation,sendOneRequest,6,1,1
ApplicationInsights-Java-Samples,com.example,RequestProcessor,RequestProcessor,3,1,1
ApplicationInsights-Java-Samples,com.example,RequestProcessor,run,12,2,0
ApplicationInsights-Java-Samples,com.example,RequestProcessor,process,11,1,1
ApplicationInsights-Java-Samples,com.example,RequestProcessor,handleRequest,3,1,0
ApplicationInsights-Java-Samples,com.example,RequestProcessor,doSomethingThatIsAutoInstrumented,9,2,0
ApplicationInsights-Java-Samples,com.example,ExampleApplication,main,3,1,1
ApplicationInsights-Java-Samples,com.example,ExampleController,root,3,1,0
ApplicationInsights-Java-Samples,com.example,ExampleWebTelemetryModule,initialize,2,1,1
ApplicationInsights-Java-Samples,com.example,ExampleWebTelemetryModule,onBeginRequest,4,1,2
ApplicationInsights-Java-Samples,com.example,ExampleWebTelemetryModule,onEndRequest,2,1,2
ApplicationInsights-Java-Samples,com.example,ExampleApplication,main,3,1,1
ApplicationInsights-Java-Samples,com.example,ExampleController,root,3,1,0
ApplicationInsights-Java-Samples,com.example,ExampleWebTelemetryModule,doFilter,5,1,3
ApplicationInsights-Java-Samples,com.example,ExampleApplication,main,3,1,1
ApplicationInsights-Java-Samples,com.example,ExampleController,root,3,1,0
ApplicationInsights-Java-Samples,com.example,ExampleApplication,main,3,1,1
ApplicationInsights-Java-Samples,com.example,ExampleController,root,3,1,0
ApplicationInsights-Java-Samples,com.example,ExampleApplication,main,3,1,1
ApplicationInsights-Java-Samples,com.example,ExampleController,root,3,1,0
ApplicationInsights-Java-Samples,com.example,ExampleApplication,main,3,1,1
ApplicationInsights-Java-Samples,com.example,ExampleController,root,3,1,0
ApplicationInsights-Java-Samples,com.example,AdvancedException,AdvancedException,3,1,1
ApplicationInsights-Java-Samples,com.example,AdvancedException,getStackTrace,3,1,0
ApplicationInsights-Java-Samples,com.example,TrackAdvancedException,main,6,1,1
ApplicationInsights-Java-Samples,com.example,TrackAdvancedException,trackAdvancedException,9,1,0
ApplicationInsights-Java-Samples,com.example,TrackAdvancedException,initOpenTelemetry,5,1,0
ApplicationInsights-Java-Samples,com.example,TrackDependency,main,4,1,1
