Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,Action,Action,9,1,2
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,Action,CreateFileProfile,7,1,0
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,Action,CreateFileEngine,7,1,1
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,Action,CreateFileHandler,5,1,2
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,Action,ListLabels,13,2,0
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,Action,SetLabel,12,2,1
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,Action,GetLabel,4,1,1
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,Action,GetProtection,4,1,1
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,App,main,37,2,1
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,AuthDelegateImpl,AuthDelegateImpl,3,1,1
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,AuthDelegateImpl,acquireToken,17,2,4
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,AuthDelegateImpl,acquireTokenInteractive,21,2,0
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,ConsentDelegate,getUserConsent,3,1,1
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,TokenCacheAspect,TokenCacheAspect,3,1,1
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,TokenCacheAspect,beforeCacheAccess,3,1,1
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,TokenCacheAspect,afterCacheAccess,3,1,1
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,TokenCacheAspect,readDataFromFile,10,1,1
MipSDK-File-Java-Basic,com.microsoft.mipsdksample,AppTest,shouldAnswerWithTrue,3,1,0
