Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,newInsight,4,1,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,insightClosed,3,1,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,newAssociation,3,1,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,newRecommendation,3,1,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,newSeverity,5,1,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,allFeatures,24,6,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,reactiveHighSeverityOnly,10,4,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,reactiveMediumSeverityOnly,10,4,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,reactiveLowSeverityOnly,10,4,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,proactiveHighSeverityOnly,10,4,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,proactiveMediumSeverityOnly,10,4,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,proactiveLowSeverityOnly,10,4,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,InsightOpenAndRecommendations,11,4,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,InsightOpenAndAnomalies,11,4,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,AlertType,InsightOpenAndSeverityUpgraded,11,4,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,InsightHandler,pickUseCase,39,11,3
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,InsightHandler,handleRequest,9,1,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,createIncident,29,3,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,closeIncident,9,1,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,severityUpgrade,6,1,3
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,newAnomalyAssociation,9,1,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,newRecommendation,13,2,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,findIncidentByInsightId,31,3,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,updateIncident,25,2,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,getBuilderWithBasicValues,19,2,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,incidentToJson,4,1,1
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,stringToIncident,4,1,1
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,stringToServiceNowResultArray,4,1,1
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,createIncidentFromInsight,15,2,1
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,getAnomaliesAsDescription,10,3,1
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,getServiceNowSeverity,11,3,1
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,getRequestDetail,18,1,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,getJsonNodeFromInput,15,1,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.partner.servicenow,ServiceNowConnector,getSecret,25,2,2
amazon-devops-guru-connector-servicenow,aws.devopsguru.servicenow,NewInsightHandlerTest,successfulResponse,4,1,0
