Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl,StreamingEtl,main,43,10,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl,StreamingEtl,getKinesisSource,11,1,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl,StreamingEtl,getKafkaSource,9,1,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl,StreamingEtl,getKinesisSink,12,1,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl,StreamingEtl,getKafkaSink,5,1,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl,StreamingEtl,getS3Sink,14,2,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl,StreamingEtl,getElasticsearchSink,26,4,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl,StreamingEtl,createIndexRequest,5,1,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl,StreamingEtl,process,3,1,3
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,AmazonElasticsearchSink,buildElasticsearchSink,11,1,4
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,AmazonElasticsearchSink,createIndexRequest,3,1,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,AmazonElasticsearchSink,process,3,1,3
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,AmazonElasticsearchSink,elasticsearchSinkBuilder,7,1,3
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,AmazonElasticsearchSink,SerializableAWSSigningRequestInterceptor,3,1,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,AmazonElasticsearchSink,process,9,2,2
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,SerializableAWSSigningRequestInterceptor,SerializableAWSSigningRequestInterceptor,3,1,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,SerializableAWSSigningRequestInterceptor,process,9,2,2
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,ParameterToolUtils,fromApplicationProperties,5,1,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,ParameterToolUtils,fromArgsAndApplicationProperties,9,2,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,TripEventBucketAssigner,TripEventBucketAssigner,3,1,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,TripEventBucketAssigner,getBucketId,3,1,2
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,TripEventBucketAssigner,getSerializer,3,1,0
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,TripEventSchema,serialize,3,1,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,TripEventSchema,deserialize,11,1,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,TripEventSchema,isEndOfStream,3,1,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,TripEventSchema,getProducedType,3,1,0
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,TripEventSchema,toJson,41,1,1
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,TripEventSchema,addField,3,1,3
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,TripEventSchema,addField,7,1,3
amazon-kinesis-analytics-streaming-etl,com.amazonaws.samples.kinesisanalytics.flink.streaming.etl.utils,TripEventSchema,addTextField,9,1,3
