Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking,BenchmarkScheduler,main,38,3,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking,BenchmarkScheduler,parseBenchamrkingSpecs,11,1,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking,BenchmarkScheduler,trackJobs,14,4,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking,BenchmarkScheduler,parse,10,1,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking,KinesisProducerForFlinkSessionWindow,execute,37,6,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,getJobName,3,1,0
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,setJobName,3,1,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,getJobDurationInMinutes,3,1,0
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,setJobDurationInMinutes,3,1,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,getJobId,3,1,0
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,setJobId,3,1,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,getRegion,3,1,0
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,setRegion,3,1,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,getJobStartTime,3,1,0
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,setJobStartTime,3,1,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,getNumberofChildJobs,3,1,0
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,setNumberofChildJobs,3,1,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,isUsingDynamoDBLocal,3,1,0
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,setUsingDynamoDBLocal,3,1,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,getDynamoDBLocalURI,3,1,0
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,setDynamoDBLocalURI,3,1,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,getParentJobSummaryDDBTableName,3,1,0
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,setParentJobSummaryDDBTableName,3,1,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,getChildJobSummaryDDBTableName,3,1,0
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,setChildJobSummaryDDBTableName,3,1,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,getChildJobs,3,1,0
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,setChildJobs,3,1,1
amazon-kinesis-data-analytics-flink-benchmarking-utility,com.amazonaws.kda.flink.benchmarking.model,BenchmarkingSpecs,getTargetKinesisStreams,3,1,0
