Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,initialValue,8,1,0
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,AuthenticationHelper,31,3,3
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,getA,3,1,0
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,getPasswordAuthenticationKey,28,2,4
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,PerformSRPAuthentication,19,2,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,initiateUserSrpAuthRequest,11,2,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,userSrpAuthRequest,45,3,3
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,calculateSecretHash,14,1,3
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,Hkdf,8,2,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,getInstance,3,1,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,init,3,1,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,init,22,2,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,unsafeInitWithoutKeyExtraction,8,2,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,deriveKey,3,1,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,deriveKey,10,1,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,deriveKey,34,6,4
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,createMac,13,1,0
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthenticationHelper,assertInitialized,5,2,0
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,Hkdf,Hkdf,8,2,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,Hkdf,getInstance,3,1,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,Hkdf,init,3,1,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,Hkdf,init,22,2,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,Hkdf,unsafeInitWithoutKeyExtraction,8,2,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,Hkdf,deriveKey,3,1,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,Hkdf,deriveKey,10,1,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,Hkdf,deriveKey,34,6,4
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,Hkdf,createMac,13,1,0
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,Hkdf,assertInitialized,5,2,0
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthHttpClient,httpPost,61,10,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,AuthHttpClient,getHttpHeader,5,1,0
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,BucketListForm,display,28,1,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoHelper,CognitoHelper,27,2,0
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoHelper,GetHostedSignInURL,4,1,0
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoHelper,GetTokenURL,4,1,0
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoHelper,SignUpUser,27,1,4
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoHelper,VerifyAccessCode,20,1,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoHelper,ValidateUser,4,1,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoHelper,GetCredentials,13,1,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoHelper,GetCredentials,22,1,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoHelper,ResetPassword,14,1,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoHelper,UpdatePassword,16,1,3
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoHelper,ListBucketsForUser,16,2,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoJWTParser,getHeader,15,1,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoJWTParser,getPayload,16,1,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoJWTParser,getSignature,11,1,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoJWTParser,getClaim,13,2,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,CognitoJWTParser,validateJWT,6,2,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,ConfirmBox,display,72,2,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,ConfirmUser,display,53,2,3
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,ForgotPassword,display,68,3,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,HostedUI,display,44,1,2
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,MainConsole,main,26,4,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,MainConsole,CreateUser,22,2,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,MainConsole,ValidateUser,18,2,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,MainConsole,ResetPassword,25,3,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,MainConsole,ListBuckets,7,2,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,MainForm,main,3,1,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,MainForm,ShowUserBuckets,5,1,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,MainForm,start,74,2,1
aws-cognito-java-desktop-app,com.amazonaws.sample.cognitoui,ResetPassword,display,62,1,3
