Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
aws-reinvent-2023-code-talk-assets,org.example,DataStreamJob,getConfig,6,2,1
aws-reinvent-2023-code-talk-assets,org.example,DataStreamJob,main,58,3,1
aws-reinvent-2023-code-talk-assets,org.example,DataStreamJob,getKey,3,1,1
aws-reinvent-2023-code-talk-assets,org.example,DataStreamJob,join,3,1,2
aws-reinvent-2023-code-talk-assets,org.example,DataStreamJob,getKey,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,CornerSpeed,CornerSpeed,2,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,CornerSpeed,CornerSpeed,8,1,6
aws-reinvent-2023-code-talk-assets,org.example.types,CornerSpeed,getLapNo,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,CornerSpeed,setLapNo,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,CornerSpeed,getTurnID,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,CornerSpeed,setTurnID,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,CornerSpeed,getSpeed,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,CornerSpeed,setSpeed,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,CornerSpeed,getThrottle,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,CornerSpeed,setThrottle,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,CornerSpeed,getBrake,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,CornerSpeed,setBrake,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,CornerSpeed,getTimestamp,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,CornerSpeed,setTimestamp,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,CornerSpeed,toString,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,Event,getCorrelationID,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,Event,setCorrelationID,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,Event,getTimestamp,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,Event,setTimestamp,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,Lap,getCurrentLapNum,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,Lap,setCurrentLapNum,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,Lap,toString,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,LapSchema,LapSchema,2,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,LapSchema,deserialize,4,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,LapSchema,isEndOfStream,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,LapSchema,getProducedType,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,Telemetry,getSpeed,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,Telemetry,setSpeed,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,Telemetry,getThrottle,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,Telemetry,setThrottle,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,Telemetry,getBrake,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,Telemetry,setBrake,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,Telemetry,toString,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,TelemetrySchema,deserialize,4,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,TelemetrySchema,isEndOfStream,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,TelemetrySchema,getProducedType,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,Turn,getTurnID,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,Turn,setTurnID,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,Turn,toString,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,TurnSchema,TurnSchema,3,1,0
aws-reinvent-2023-code-talk-assets,org.example.types,TurnSchema,deserialize,4,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,TurnSchema,isEndOfStream,3,1,1
aws-reinvent-2023-code-talk-assets,org.example.types,TurnSchema,getProducedType,3,1,0
