Project Name,Package Name,Type Name,Code Smell
azure-functions-samples-java,com.azfs.component,FunctionComponent,Unutilized Abstraction
azure-functions-samples-java,com.azfs.dihook,MyFunctionInstanceInjector,Unutilized Abstraction
azure-functions-samples-java,com.azfs.dihook,FunctionGuiceFactory,Unutilized Abstraction
azure-functions-samples-java,com.azfs,Function,Unutilized Abstraction
azure-functions-samples-java,com.azfs,BasicModule,Unutilized Abstraction
azure-functions-samples-java,com.azfs,Function,Unutilized Abstraction
azure-functions-samples-java,com.azfs,Function,Deficient Encapsulation
azure-functions-samples-java,com.azfs.model,Communicator,Unutilized Abstraction
azure-functions-samples-java,com.azfs.module,FunctionModule,Unutilized Abstraction
azure-functions-samples-java,com.function,DistributedTracingFunction,Unutilized Abstraction
azure-functions-samples-java,com.functions,DurableFunction,Unutilized Abstraction
azure-functions-samples-java,com.functions,BlobTriggerFunction,Unutilized Abstraction
azure-functions-samples-java,com.functions,CosmosDBTriggerFunction,Unutilized Abstraction
azure-functions-samples-java,com.functions,CosmosDBTriggerFunction,Deficient Encapsulation
azure-functions-samples-java,com.functions,Document,Unnecessary Abstraction
azure-functions-samples-java,com.functions,Document,Deficient Encapsulation
azure-functions-samples-java,com.functions,EventGridTriggerFunction,Unutilized Abstraction
azure-functions-samples-java,com.functions,EventGridEvent,Unutilized Abstraction
azure-functions-samples-java,com.functions,EventHubTriggerFunction,Deficient Encapsulation
azure-functions-samples-java,com.functions,SystemProperty,Unutilized Abstraction
azure-functions-samples-java,com.functions,SystemProperty,Deficient Encapsulation
azure-functions-samples-java,com.functions,Function,Deficient Encapsulation
azure-functions-samples-java,com.functions,KafkaTriggerFunction,Unutilized Abstraction
azure-functions-samples-java,com.functions,QueueTriggerFunction,Unutilized Abstraction
azure-functions-samples-java,com.functions,QueueTriggerFunction,Deficient Encapsulation
azure-functions-samples-java,com.functions,TestData,Unnecessary Abstraction
azure-functions-samples-java,com.functions,TestData,Deficient Encapsulation
azure-functions-samples-java,com.functions,ServiceBusQueueTriggerFunction,Unutilized Abstraction
azure-functions-samples-java,com.functions,ServiceBusTopicTriggerFunction,Unutilized Abstraction
azure-functions-samples-java,com.functions,TableFunction,Unutilized Abstraction
azure-functions-samples-java,com.functions,TableFunction,Deficient Encapsulation
azure-functions-samples-java,com.functions,Person,Unutilized Abstraction
azure-functions-samples-java,com.functions,Person,Deficient Encapsulation
azure-functions-samples-java,com.functions,TimerTriggerFunction,Unutilized Abstraction
azure-functions-samples-java,com.functions,EventHubTriggerFunctionTest,Unutilized Abstraction
azure-functions-samples-java,com.functions,FunctionTest,Unutilized Abstraction
azure-functions-samples-java,com.functions,HttpResponseMessageBuilderMock,Unutilized Abstraction
azure-functions-samples-java,example,Application,Unutilized Abstraction
azure-functions-samples-java,example.hello,HelloHandler,Unutilized Abstraction
azure-functions-samples-java,example.hello,HelloTest,Unutilized Abstraction
azure-functions-samples-java,example.hello.model,User,Unutilized Abstraction
azure-functions-samples-java,example.uppercase,EchoHandler,Unutilized Abstraction
azure-functions-samples-java,example.uppercase,UppercaseHandler,Unutilized Abstraction
