Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
azure-functions-samples-java,com.azfs.component,FunctionComponent,buildFunction,0,1,0
azure-functions-samples-java,com.azfs.dihook,MyFunctionInstanceInjector,getInstance,3,1,1
azure-functions-samples-java,com.azfs.dihook,FunctionGuiceFactory,getInstance,3,1,1
azure-functions-samples-java,com.azfs,Function,Function,3,1,1
azure-functions-samples-java,com.azfs,Function,run,12,2,2
azure-functions-samples-java,com.azfs,BasicModule,configure,3,1,0
azure-functions-samples-java,com.azfs,Communicator,sendMessage,0,1,1
azure-functions-samples-java,com.azfs,DefaultCommunicatorImpl,sendMessage,4,1,1
azure-functions-samples-java,com.azfs,Function,run,12,2,2
azure-functions-samples-java,com.azfs.model,Communicator,Communicator,3,1,1
azure-functions-samples-java,com.azfs.model,Communicator,communicate,3,1,1
azure-functions-samples-java,com.azfs.module,FunctionModule,provideCommunicator,3,1,0
azure-functions-samples-java,com.function,DistributedTracingFunction,jdbcAndCosmosOutput,31,1,2
azure-functions-samples-java,com.functions,DurableFunction,startOrchestration,7,1,3
azure-functions-samples-java,com.functions,DurableFunction,citiesOrchestrator,8,1,1
azure-functions-samples-java,com.functions,DurableFunction,capitalize,4,1,2
azure-functions-samples-java,com.functions,BlobTriggerFunction,BlobTriggerToBlobTest,4,1,5
azure-functions-samples-java,com.functions,CosmosDBTriggerFunction,CosmosDBInputId,9,2,3
azure-functions-samples-java,com.functions,CosmosDBTriggerFunction,CosmosDBInputIdPOJO,9,2,3
azure-functions-samples-java,com.functions,CosmosDBTriggerFunction,CosmosDBInputQueryPOJOArray,10,2,4
azure-functions-samples-java,com.functions,CosmosDBTriggerFunction,CosmosDBInputQueryPOJOList,10,2,4
azure-functions-samples-java,com.functions,CosmosDBTriggerFunction,CosmosDBInputQuery,11,2,3
azure-functions-samples-java,com.functions,CosmosDBTriggerFunction,CosmosTriggerAndOutput,13,1,3
azure-functions-samples-java,com.functions,EventGridTriggerFunction,eventGridHandler,4,1,2
azure-functions-samples-java,com.functions,EventGridTriggerFunction,eventGridOutputBinding,15,1,3
azure-functions-samples-java,com.functions,EventGridEvent,getId,3,1,0
azure-functions-samples-java,com.functions,EventGridEvent,getData,3,1,0
azure-functions-samples-java,com.functions,EventGridEvent,setData,3,1,1
azure-functions-samples-java,com.functions,EventGridEvent,getDataVersion,3,1,0
azure-functions-samples-java,com.functions,EventGridEvent,setDataVersion,3,1,1
azure-functions-samples-java,com.functions,EventGridEvent,getEventTime,3,1,0
azure-functions-samples-java,com.functions,EventGridEvent,setEventTime,3,1,1
azure-functions-samples-java,com.functions,EventGridEvent,getSubject,3,1,0
azure-functions-samples-java,com.functions,EventGridEvent,setSubject,3,1,1
azure-functions-samples-java,com.functions,EventGridEvent,getEventType,3,1,0
azure-functions-samples-java,com.functions,EventGridEvent,setEventType,3,1,1
azure-functions-samples-java,com.functions,EventGridEvent,setId,3,1,1
azure-functions-samples-java,com.functions,EventHubTriggerFunction,EventHubTriggerAndOutputJSON,4,1,3
azure-functions-samples-java,com.functions,EventHubTriggerFunction,EventHubTriggerCardinalityOneEventMetadata,10,1,9
azure-functions-samples-java,com.functions,EventHubTriggerFunction,EventHubTriggerCardinalityManyEventMetadata,10,1,8
azure-functions-samples-java,com.functions,EventHubTriggerFunction,EventHubTriggerAndOutputString,5,1,4
azure-functions-samples-java,com.functions,EventHubTriggerFunction,EventHubTriggerCardinalityOne,4,1,3
azure-functions-samples-java,com.functions,EventHubTriggerFunction,TestEventHubOutputJson,4,1,3
azure-functions-samples-java,com.functions,EventHubTriggerFunction,TestEventHubOutput,4,1,3
azure-functions-samples-java,com.functions,EventHubTriggerFunction,TestEventHubOutputInputOne,4,1,3
azure-functions-samples-java,com.functions,EventHubTriggerFunction,EventHubTriggerAndOutputBinaryCardinalityManyListBinary,4,1,3
azure-functions-samples-java,com.functions,EventHubTriggerFunction,EventHubTriggerAndOutputBinaryCardinalityOne,4,1,3
azure-functions-samples-java,com.functions,EventHubTriggerFunction,EventHubTriggerAndOutputBinaryCardinalityManyArrayBinary,4,1,3
azure-functions-samples-java,com.functions,EventHubTriggerFunction,SystemProperty,6,1,4
azure-functions-samples-java,com.functions,SystemProperty,SystemProperty,6,1,4
azure-functions-samples-java,com.functions,Function,run,11,2,2
azure-functions-samples-java,com.functions,Function,HttpExampleRetry,15,3,2
azure-functions-samples-java,com.functions,Function,HttpTriggerJavaVersion,6,1,2
azure-functions-samples-java,com.functions,Function,getJavaVersion,3,1,0
azure-functions-samples-java,com.functions,Function,getStaticWebPage,12,1,2
azure-functions-samples-java,com.functions,KafkaTriggerFunction,HttpTriggerAndKafkaOutput,7,1,3
azure-functions-samples-java,com.functions,KafkaTriggerFunction,KafkaTriggerAndKafkaOutput,4,1,3
azure-functions-samples-java,com.functions,QueueTriggerFunction,queuetriggerandoutput,4,1,3
azure-functions-samples-java,com.functions,QueueTriggerFunction,QueueOutputPOJOList,18,2,3
azure-functions-samples-java,com.functions,QueueTriggerFunction,queuetriggerandoutputPOJO,4,1,3
azure-functions-samples-java,com.functions,QueueTriggerFunction,QueueTriggerMetadata,6,1,4
azure-functions-samples-java,com.functions,ServiceBusQueueTriggerFunction,serviceBusQueueTrigger,4,1,3
azure-functions-samples-java,com.functions,ServiceBusQueueTriggerFunction,serviceBusQueueBatchTrigger,4,1,3
azure-functions-samples-java,com.functions,ServiceBusQueueTriggerFunction,serviceBusQueueOutput,5,1,3
azure-functions-samples-java,com.functions,ServiceBusTopicTriggerFunction,serviceBusTopicTrigger,4,1,3
azure-functions-samples-java,com.functions,ServiceBusTopicTriggerFunction,serviceBusTopicTriggerMetadata,5,1,4
azure-functions-samples-java,com.functions,ServiceBusTopicTriggerFunction,serviceBusTopicBatchTrigger,4,1,3
azure-functions-samples-java,com.functions,ServiceBusTopicTriggerFunction,serviceBusTopicOutput,5,1,3
azure-functions-samples-java,com.functions,TableFunction,tableInputJava,4,1,3
azure-functions-samples-java,com.functions,TableFunction,tableOutputJava,5,1,3
azure-functions-samples-java,com.functions,TableFunction,Person,5,1,3
azure-functions-samples-java,com.functions,Person,Person,5,1,3
azure-functions-samples-java,com.functions,TimerTriggerFunction,timerHandler,3,1,2
azure-functions-samples-java,com.functions,EventHubTriggerFunctionTest,setup,25,1,0
azure-functions-samples-java,com.functions,EventHubTriggerFunctionTest,getValue,3,1,0
azure-functions-samples-java,com.functions,EventHubTriggerFunctionTest,setValue,3,1,1
azure-functions-samples-java,com.functions,EventHubTriggerFunctionTest,getValue,3,1,0
azure-functions-samples-java,com.functions,EventHubTriggerFunctionTest,setValue,3,1,1
azure-functions-samples-java,com.functions,EventHubTriggerFunctionTest,testEventHubTriggerAndOutputJSONJava,8,2,0
