Project Name,Package Name,Type Name,Code Smell
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,ConsumerConfigs,Cyclic-Dependent Modularization
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamConsumer,Imperative Abstraction
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamConsumer,Cyclic-Dependent Modularization
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaConsumerFactory,Unutilized Abstraction
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,MirrorClientSource,Cyclic-Dependent Modularization
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,MM2Config,Cyclic-Dependent Modularization
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,ParametersValidator,Cyclic-Dependent Modularization
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,Rebalance,Unutilized Abstraction
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,RunConsumer,Imperative Abstraction
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,RunConsumer,Unutilized Abstraction
clickstream-consumer-for-apache-kafka,com.amazonaws.kafka.samples,Util,Cyclic-Dependent Modularization
clickstream-consumer-for-apache-kafka,samples.clickstream.avro,ClickEvent,Deficient Encapsulation
clickstream-consumer-for-apache-kafka,samples.clickstream.avro,ClickEvent,Cyclic-Dependent Modularization
clickstream-consumer-for-apache-kafka,samples.clickstream.avro,ClickEvent,Insufficient Modularization
clickstream-consumer-for-apache-kafka,samples.clickstream.avro,Builder,Cyclic-Dependent Modularization
clickstream-consumer-for-apache-kafka,samples.clickstream.avro,Builder,Insufficient Modularization
