Project Name,Package Name,Type Name,Method Name,Code Smell
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,genEvents,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,genEvents,Magic Number
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,genUserEvent,Long Parameter List
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,genUserEvent,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,nextEventType,Complex Method
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,nextProductType,Complex Method
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,GetStatus,run,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,GetStatus,run,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,GetStatus,run,Magic Number
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,GetStatus,run,Magic Number
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,shutdown,Magic Number
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,shutdown,Magic Number
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,runProducer,Complex Method
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,runProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,runProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,runProducer,Magic Number
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,runProducer,Magic Number
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,runProducer,Magic Number
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,runProducer,Magic Number
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,getSaslScramString,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,getSaslScramString,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,getSaslScramString,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,KafkaProducerFactory,Long Parameter List
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Complex Method
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Identifier
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,Long Statement
