Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,getTotalEvents,3,1,0
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,getThreadEventCount,3,1,0
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,getErrorCount,3,1,0
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,getLastOffset,3,1,0
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,getLastGlobalSeqNo,3,1,0
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,genEvents,30,5,2
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,genUserEvent,13,2,6
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,nextEventType,27,8,1
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Events,nextProductType,27,8,2
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,GetStatus,run,14,2,0
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,submitAll,7,2,2
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,shutdown,32,3,3
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,runProducer,71,12,0
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaClickstreamClient,main,11,2,1
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,getSaslScramString,16,1,0
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,KafkaProducerFactory,13,2,6
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,KafkaProducerFactory,createProducer,96,21,0
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,ParametersValidator,validate,14,5,0
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,RunProducer,RunProducer,3,1,1
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,RunProducer,shutdown,3,1,0
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,RunProducer,runProducer,43,9,0
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,RunProducer,call,4,1,0
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Util,eventWriter,18,4,4
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Util,Sleep,8,1,1
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Util,setGlobalSeqNo,11,1,1
clickstream-producer-for-apache-kafka,com.amazonaws.kafka.samples,Util,stackTrace,6,1,1
clickstream-producer-for-apache-kafka,samples.clickstream.avro,ClickEvent,getClassSchema,3,1,0
clickstream-producer-for-apache-kafka,samples.clickstream.avro,ClickEvent,ClickEvent,2,1,0
clickstream-producer-for-apache-kafka,samples.clickstream.avro,ClickEvent,ClickEvent,10,1,8
clickstream-producer-for-apache-kafka,samples.clickstream.avro,ClickEvent,getSchema,3,1,0
clickstream-producer-for-apache-kafka,samples.clickstream.avro,ClickEvent,get,22,9,1
clickstream-producer-for-apache-kafka,samples.clickstream.avro,ClickEvent,put,30,9,2
clickstream-producer-for-apache-kafka,samples.clickstream.avro,ClickEvent,getIp,3,1,0
clickstream-producer-for-apache-kafka,samples.clickstream.avro,ClickEvent,setIp,3,1,1
clickstream-producer-for-apache-kafka,samples.clickstream.avro,ClickEvent,getEventtimestamp,3,1,0
clickstream-producer-for-apache-kafka,samples.clickstream.avro,ClickEvent,setEventtimestamp,3,1,1
