Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
communication-services-android-calling-hero,com.azure.samples.communication.calling,AzureCalling,onCreate,4,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling,AzureCalling,initializeDependencies,6,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling,AzureCalling,createCallingContext,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling,AzureCalling,getCallingContext,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling,AzureCalling,getAadAuthHandler,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling,AzureCalling,getAppSettings,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,AADAuthHandler,3,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,signIn,22,2,2
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onSuccess,8,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onError,3,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onCancel,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,findUserProfile,23,1,2
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onResponse,13,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onErrorResponse,3,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,callGraphAPI,8,2,2
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,getAccessToken,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,signingOut,12,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onSignOut,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onError,4,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,signOut,8,2,2
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,acquireTokenSilently,20,1,3
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onSuccess,8,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onError,7,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,acquireToken,16,1,2
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onSuccess,5,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onError,3,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onCancel,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,getCurrentAccount,35,5,3
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onAccountLoaded,19,3,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onAccountChanged,5,2,2
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onError,3,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,loadAccount,12,1,3
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onCreated,4,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AADAuthHandler,onError,3,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AuthenticationToken,getToken,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,AuthenticationToken,setToken,3,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,UserProfile,getUsername,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,UserProfile,setUsername,3,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,UserProfile,getDisplayName,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,UserProfile,setDisplayName,3,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,UserProfile,getGivenName,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,UserProfile,setGivenName,3,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,UserProfile,getSurname,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,UserProfile,setSurname,3,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,UserProfile,getEmail,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,UserProfile,setEmail,3,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,UserProfile,getId,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.authentication,UserProfile,setId,3,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.calling,CallingContext,CallingContext,4,1,2
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.calling,CallingContext,getCommunicationTokenCredential,4,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.calling,CallingContext,getCallCompositeRemoteOptions,7,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.calling,CallingContext,getCallCompositeGroupRemoteOptions,4,1,2
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.calling,CallingContext,getCallCompositeRemoteOptions,4,1,2
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.calling,CallingContext,getJoinId,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.calling,TokenService,TokenService,5,1,3
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.calling,TokenService,getCommunicationTokenAsync,24,2,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.calling,TokenService,getHeaders,14,2,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.externals.calling,TokenService,parseResponse,9,1,2
communication-services-android-calling-hero,com.azure.samples.communication.calling.utilities,AppSettings,AppSettings,12,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.utilities,AppSettings,getCommunicationToken,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.utilities,AppSettings,getAADScopes,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.utilities,AppSettings,isAADAuthEnabled,4,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.utilities,AppSettings,getGraphUrl,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.utilities,AppSettings,getTenantId,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.utilities,AppSettings,getContext,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.utilities,AppSettings,getAuthenticationToken,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.utilities,AppSettings,getUserProfile,3,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.utilities,MSGraphRequestWrapper,callGraphAPIUsingVolley,23,2,5
communication-services-android-calling-hero,com.azure.samples.communication.calling.utilities,MSGraphRequestWrapper,getHeaders,5,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,IntroViewActivity,onCreate,29,5,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,IntroViewActivity,onResume,4,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,IntroViewActivity,onBackPressed,4,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,IntroViewActivity,initializeUI,21,3,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,IntroViewActivity,signOut,14,2,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,IntroViewActivity,startCall,4,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,IntroViewActivity,joinCall,4,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,InvitationActivity,handle,11,4,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,InvitationActivity,onOptionsItemSelected,9,2,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,InvitationActivity,onCreate,15,2,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,InvitationActivity,initializeUI,6,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,InvitationActivity,startCallSetup,5,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,InvitationActivity,openShareDialogue,10,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,InvitationActivity,makeCall,5,1,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,JoinCallActivity,onOptionsItemSelected,9,2,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,JoinCallActivity,onCreate,13,3,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,JoinCallActivity,initializeUI,21,2,0
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,JoinCallActivity,onTabSelected,8,2,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,JoinCallActivity,onTabUnselected,2,1,1
communication-services-android-calling-hero,com.azure.samples.communication.calling.views.activities,JoinCallActivity,onTabReselected,2,1,1
