Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
data-engineering-for-aws-immersion-day,software.amazon.flink.example,DataSerializationSchema,deserialize,3,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example,DataSerializationSchema,serialize,8,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example,DataSerializationSchema,isEndOfStream,3,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example,DataSerializationSchema,getProducedType,3,1,0
data-engineering-for-aws-immersion-day,software.amazon.flink.example,FlinkStreamingJob,createSource,6,1,4
data-engineering-for-aws-immersion-day,software.amazon.flink.example,FlinkStreamingJob,createSink,5,1,2
data-engineering-for-aws-immersion-day,software.amazon.flink.example,FlinkStreamingJob,main,12,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example,RandomCutForestUDF,eval,10,2,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example,RandomCutForestUDF,main,6,2,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example,RandomCutForestUDF,calculateAnomalyScore,13,3,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example.model,InputData,getTime,3,1,0
data-engineering-for-aws-immersion-day,software.amazon.flink.example.model,InputData,setTime,3,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example.model,InputData,getCtr,3,1,0
data-engineering-for-aws-immersion-day,software.amazon.flink.example.model,InputData,setValue,3,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example.model,InputData,toString,3,1,0
data-engineering-for-aws-immersion-day,software.amazon.flink.example.model,OutputData,OutputData,5,1,3
data-engineering-for-aws-immersion-day,software.amazon.flink.example.model,OutputData,getTime,3,1,0
data-engineering-for-aws-immersion-day,software.amazon.flink.example.model,OutputData,setTime,3,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example.model,OutputData,getCtr,3,1,0
data-engineering-for-aws-immersion-day,software.amazon.flink.example.model,OutputData,setValue,3,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example.model,OutputData,getScore,3,1,0
data-engineering-for-aws-immersion-day,software.amazon.flink.example.model,OutputData,setScore,3,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example.model,OutputData,toString,3,1,0
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperator,RandomCutForestOperator,9,1,7
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperator,processElement,7,1,3
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperator,initializeRcf,3,1,0
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperator,snapshotState,4,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperator,initializeState,10,2,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperator,builder,3,1,0
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperatorBuilder,RandomCutForestOperatorBuilder,2,1,0
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperatorBuilder,setDimensions,5,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperatorBuilder,setShingleSize,5,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperatorBuilder,setReportAnomaliesAfter,4,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperatorBuilder,setNumberOfTrees,5,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperatorBuilder,setSampleSize,5,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperatorBuilder,setInputDataMapper,4,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperatorBuilder,setResultMapper,4,1,1
data-engineering-for-aws-immersion-day,software.amazon.flink.example.operator,RandomCutForestOperatorBuilder,build,6,1,0
