Project Name,Package Name,Type Name,Method Name,Code Smell
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,start,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,handleGetBook,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,handleGetBook,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,handleGetCart,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,handleGetCart,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,handleAddBook,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,handleAddBook,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,handleAddCart,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,handleAddCart,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,handleListCartItems,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,handleListCartItems,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,handleListCartItems,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Long Statement
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Long Statement
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Long Statement
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Long Statement
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Long Statement
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Long Statement
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Long Statement
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Long Statement
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Long Statement
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Long Statement
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Long Statement
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Long Statement
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
graviton-workshop,com.company.example.web.bookshop,VertxBookShopREST,initializeData,Magic Number
