Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
gs-accessing-data-jpa,com.example.accessingdatajpa,AccessingDataJpaApplication,main,3,1,1
gs-accessing-data-jpa,com.example.accessingdatajpa,AccessingDataJpaApplication,demo,29,1,1
gs-accessing-data-jpa,com.example.accessingdatajpa,Customer,Customer,2,1,0
gs-accessing-data-jpa,com.example.accessingdatajpa,Customer,Customer,4,1,2
gs-accessing-data-jpa,com.example.accessingdatajpa,Customer,toString,3,1,0
gs-accessing-data-jpa,com.example.accessingdatajpa,Customer,getId,3,1,0
gs-accessing-data-jpa,com.example.accessingdatajpa,Customer,getFirstName,3,1,0
gs-accessing-data-jpa,com.example.accessingdatajpa,Customer,getLastName,3,1,0
gs-accessing-data-jpa,com.example.accessingdatajpa,CustomerRepository,findByLastName,0,1,1
gs-accessing-data-jpa,com.example.accessingdatajpa,CustomerRepository,findById,0,1,1
gs-accessing-data-jpa,com.example.accessingdatajpa,CustomerRepositoryTests,testFindByLastName,6,1,0
gs-accessing-data-jpa,com.example.accessingdatajpa,AccessingDataJpaApplication,main,3,1,1
gs-accessing-data-jpa,com.example.accessingdatajpa,AccessingDataJpaApplicationTests,contextLoads,2,1,0
