Project Name,Package Name,Type Name,Method Name,Code Smell
gs-accessing-data-rest,com.example.accessingdatarest,AccessingDataRestApplicationTests,shouldCreateEntity,Long Statement
gs-accessing-data-rest,com.example.accessingdatarest,AccessingDataRestApplicationTests,shouldRetrieveEntity,Long Statement
gs-accessing-data-rest,com.example.accessingdatarest,AccessingDataRestApplicationTests,shouldRetrieveEntity,Long Statement
gs-accessing-data-rest,com.example.accessingdatarest,AccessingDataRestApplicationTests,shouldQueryEntity,Long Statement
gs-accessing-data-rest,com.example.accessingdatarest,AccessingDataRestApplicationTests,shouldQueryEntity,Long Statement
gs-accessing-data-rest,com.example.accessingdatarest,AccessingDataRestApplicationTests,shouldUpdateEntity,Long Statement
gs-accessing-data-rest,com.example.accessingdatarest,AccessingDataRestApplicationTests,shouldUpdateEntity,Long Statement
gs-accessing-data-rest,com.example.accessingdatarest,AccessingDataRestApplicationTests,shouldUpdateEntity,Long Statement
gs-accessing-data-rest,com.example.accessingdatarest,AccessingDataRestApplicationTests,shouldPartiallyUpdateEntity,Long Statement
gs-accessing-data-rest,com.example.accessingdatarest,AccessingDataRestApplicationTests,shouldPartiallyUpdateEntity,Long Statement
gs-accessing-data-rest,com.example.accessingdatarest,AccessingDataRestApplicationTests,shouldDeleteEntity,Long Statement
