Project Name,Package Name,Type Name,Method Name,Code Smell
gs-accessing-mongodb-data-rest,com.example.accessingmongodbdatarest,AccessingMongodbDataRestApplicationTests,shouldCreateEntity,Long Statement
gs-accessing-mongodb-data-rest,com.example.accessingmongodbdatarest,AccessingMongodbDataRestApplicationTests,shouldRetrieveEntity,Long Statement
gs-accessing-mongodb-data-rest,com.example.accessingmongodbdatarest,AccessingMongodbDataRestApplicationTests,shouldRetrieveEntity,Long Statement
gs-accessing-mongodb-data-rest,com.example.accessingmongodbdatarest,AccessingMongodbDataRestApplicationTests,shouldQueryEntity,Long Statement
gs-accessing-mongodb-data-rest,com.example.accessingmongodbdatarest,AccessingMongodbDataRestApplicationTests,shouldQueryEntity,Long Statement
gs-accessing-mongodb-data-rest,com.example.accessingmongodbdatarest,AccessingMongodbDataRestApplicationTests,shouldUpdateEntity,Long Statement
gs-accessing-mongodb-data-rest,com.example.accessingmongodbdatarest,AccessingMongodbDataRestApplicationTests,shouldUpdateEntity,Long Statement
gs-accessing-mongodb-data-rest,com.example.accessingmongodbdatarest,AccessingMongodbDataRestApplicationTests,shouldUpdateEntity,Long Statement
gs-accessing-mongodb-data-rest,com.example.accessingmongodbdatarest,AccessingMongodbDataRestApplicationTests,shouldPartiallyUpdateEntity,Long Statement
gs-accessing-mongodb-data-rest,com.example.accessingmongodbdatarest,AccessingMongodbDataRestApplicationTests,shouldPartiallyUpdateEntity,Long Statement
gs-accessing-mongodb-data-rest,com.example.accessingmongodbdatarest,AccessingMongodbDataRestApplicationTests,shouldDeleteEntity,Long Statement
