Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
gs-caching,com.example.caching,AppRunner,2,0,2,2,16,2,0,0,0.0,0,1
gs-caching,com.example.caching,Book,2,0,6,6,23,6,0,0,0.0,0,0
gs-caching,com.example.caching,BookRepository,0,0,1,0,3,1,2,0,-1.0,2,0
gs-caching,com.example.caching,CachingApplication,0,0,1,1,5,1,0,0,-1.0,2,1
gs-caching,com.example.caching,SimpleBookRepository,0,0,2,1,15,2,0,1,-1.0,0,0
gs-caching,com.example.caching,AppRunner,2,0,2,2,13,2,0,0,0.0,0,1
gs-caching,com.example.caching,Book,2,0,6,6,23,6,0,0,0.0,0,0
gs-caching,com.example.caching,BookRepository,0,0,1,0,3,1,0,0,-1.0,0,0
gs-caching,com.example.caching,CachingApplication,0,0,1,1,5,1,0,0,-1.0,0,1
gs-caching,com.example.caching,SimpleBookRepository,0,0,2,1,15,2,0,1,-1.0,0,0
