Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
gs-crud-with-vaadin,com.example.crudwithvaadin,CrudWithVaadinApplication,main,3,1,1
gs-crud-with-vaadin,com.example.crudwithvaadin,CrudWithVaadinApplication,loadData,27,3,1
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,Customer,2,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,Customer,4,1,2
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,getId,3,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,getFirstName,3,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,setFirstName,3,1,1
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,getLastName,3,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,setLastName,3,1,1
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,toString,3,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,CustomerEditor,CustomerEditor,13,1,1
gs-crud-with-vaadin,com.example.crudwithvaadin,CustomerEditor,delete,4,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,CustomerEditor,save,4,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,CustomerEditor,onChange,0,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,CustomerEditor,editCustomer,17,3,1
gs-crud-with-vaadin,com.example.crudwithvaadin,CustomerEditor,setChangeHandler,3,1,1
gs-crud-with-vaadin,com.example.crudwithvaadin,ChangeHandler,onChange,0,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,CustomerRepository,findByLastNameStartsWithIgnoreCase,0,1,1
gs-crud-with-vaadin,com.example.crudwithvaadin,MainView,MainView,26,1,2
gs-crud-with-vaadin,com.example.crudwithvaadin,MainView,listCustomers,8,2,1
gs-crud-with-vaadin,com.example.crudwithvaadin,CrudWithVaadinApplicationTests,shouldFillOutComponentsWithDataWhenTheApplicationIsStarted,3,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,CrudWithVaadinApplicationTests,shouldFindTwoBauerCustomers,3,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,CustomerEditorTests,init,3,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,CustomerEditorTests,shouldStoreCustomerInRepoWhenEditorSaveClicked,7,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,CustomerEditorTests,shouldDeleteCustomerFromRepoWhenEditorDeleteClicked,5,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,CustomerEditorTests,emptyCustomerWasSetToForm,3,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,CustomerEditorTests,customerDataWasFilled,3,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,CustomerEditorTests,customerMatchesEditorFields,3,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,MainViewTests,setup,4,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,MainViewTests,shouldInitializeTheGridWithCustomerRepositoryData,5,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,MainViewTests,getCustomersInGrid,4,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,MainViewTests,shouldFillOutTheGridWithNewData,7,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,MainViewTests,shouldFilterOutTheGridWithTheProvidedLastName,6,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,MainViewTests,shouldInitializeWithInvisibleEditor,3,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,MainViewTests,shouldMakeEditorVisible,5,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,MainViewTests,customerDataWasFilled,5,1,3
gs-crud-with-vaadin,com.example.crudwithvaadin,MainViewTests,initializeData,7,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,Config,initializeData,7,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,CrudWithVaadinApplication,main,3,1,1
gs-crud-with-vaadin,com.example.crudwithvaadin,CrudWithVaadinApplication,loadData,27,3,1
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,Customer,2,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,Customer,4,1,2
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,getId,3,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,getFirstName,3,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,setFirstName,3,1,1
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,getLastName,3,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,setLastName,3,1,1
gs-crud-with-vaadin,com.example.crudwithvaadin,Customer,toString,3,1,0
gs-crud-with-vaadin,com.example.crudwithvaadin,CustomerRepository,findByLastNameStartsWithIgnoreCase,0,1,1
gs-crud-with-vaadin,com.example.crudwithvaadin,MainView,MainView,3,1,0
