Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
gs-messaging-jms,hello,Application,myFactory,5,1,2
gs-messaging-jms,hello,Application,jacksonJmsMessageConverter,6,1,0
gs-messaging-jms,hello,Application,main,6,1,1
gs-messaging-jms,hello,Email,Email,2,1,0
gs-messaging-jms,hello,Email,Email,4,1,2
gs-messaging-jms,hello,Email,getTo,3,1,0
gs-messaging-jms,hello,Email,setTo,3,1,1
gs-messaging-jms,hello,Email,getBody,3,1,0
gs-messaging-jms,hello,Email,setBody,3,1,1
gs-messaging-jms,hello,Email,toString,3,1,0
gs-messaging-jms,hello,Receiver,receiveMessage,3,1,1
gs-messaging-jms,hello,Application,main,3,1,1
