Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
gs-spring-boot-docker,(default package),MavenWrapperDownloader,main,46,5,1
gs-spring-boot-docker,(default package),MavenWrapperDownloader,downloadFileFromURL,19,2,2
gs-spring-boot-docker,(default package),MavenWrapperDownloader,getPasswordAuthentication,3,1,0
gs-spring-boot-docker,(default package),MavenWrapperDownloader,main,46,5,1
gs-spring-boot-docker,(default package),MavenWrapperDownloader,downloadFileFromURL,19,2,2
gs-spring-boot-docker,(default package),MavenWrapperDownloader,getPasswordAuthentication,3,1,0
gs-spring-boot-docker,hello,Application,home,3,1,0
gs-spring-boot-docker,hello,Application,main,3,1,1
gs-spring-boot-docker,hello,HelloWorldConfigurationTests,testGreeting,4,1,0
gs-spring-boot-docker,hello,Application,main,3,1,1
