Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
gs-uploading-files,com.example.uploadingfiles,FileUploadController,FileUploadController,3,1,1
gs-uploading-files,com.example.uploadingfiles,FileUploadController,listUploadedFiles,4,1,1
gs-uploading-files,com.example.uploadingfiles,FileUploadController,serveFile,5,2,1
gs-uploading-files,com.example.uploadingfiles,FileUploadController,handleFileUpload,5,1,2
gs-uploading-files,com.example.uploadingfiles,FileUploadController,handleStorageFileNotFound,3,1,1
gs-uploading-files,com.example.uploadingfiles,UploadingFilesApplication,main,3,1,1
gs-uploading-files,com.example.uploadingfiles,UploadingFilesApplication,init,7,1,1
gs-uploading-files,com.example.uploadingfiles,FileUploadIntegrationTests,shouldUploadFile,9,1,0
gs-uploading-files,com.example.uploadingfiles,FileUploadIntegrationTests,shouldDownloadFile,8,1,0
gs-uploading-files,com.example.uploadingfiles,FileUploadTests,shouldListAllFiles,4,1,0
gs-uploading-files,com.example.uploadingfiles,FileUploadTests,shouldSaveUploadedFile,5,1,0
gs-uploading-files,com.example.uploadingfiles,FileUploadTests,should404WhenMissingFile,4,1,0
gs-uploading-files,com.example.uploadingfiles,UploadingFilesApplication,main,3,1,1
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,FileSystemStorageService,6,2,1
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,store,17,3,1
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,loadAll,8,1,0
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,load,3,1,1
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,loadAsResource,15,2,1
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,deleteAll,3,1,0
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,init,8,1,0
gs-uploading-files,com.example.uploadingfiles.storage,StorageException,StorageException,3,1,1
gs-uploading-files,com.example.uploadingfiles.storage,StorageException,StorageException,3,1,2
gs-uploading-files,com.example.uploadingfiles.storage,StorageFileNotFoundException,StorageFileNotFoundException,3,1,1
gs-uploading-files,com.example.uploadingfiles.storage,StorageFileNotFoundException,StorageFileNotFoundException,3,1,2
gs-uploading-files,com.example.uploadingfiles.storage,StorageProperties,getLocation,3,1,0
gs-uploading-files,com.example.uploadingfiles.storage,StorageProperties,setLocation,3,1,1
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,init,0,1,0
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,store,0,1,1
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,loadAll,0,1,0
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,load,0,1,1
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,loadAsResource,0,1,1
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,deleteAll,0,1,0
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,init,5,1,0
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,emptyUploadLocation,8,1,0
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,loadNonExistent,3,1,0
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,saveAndLoad,4,1,0
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,saveRelativePathNotPermitted,6,1,0
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,saveAbsolutePathNotPermitted,6,1,0
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,saveAbsolutePathInFilenamePermitted,5,1,0
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,savePermitted,3,1,0
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,FileSystemStorageService,6,2,1
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,store,11,2,1
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,loadAll,8,1,0
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,load,3,1,1
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,loadAsResource,15,2,1
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,deleteAll,3,1,0
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,init,8,1,0
gs-uploading-files,com.example.uploadingfiles.storage,StorageException,StorageException,3,1,1
gs-uploading-files,com.example.uploadingfiles.storage,StorageException,StorageException,3,1,2
gs-uploading-files,com.example.uploadingfiles.storage,StorageFileNotFoundException,StorageFileNotFoundException,3,1,1
gs-uploading-files,com.example.uploadingfiles.storage,StorageFileNotFoundException,StorageFileNotFoundException,3,1,2
gs-uploading-files,com.example.uploadingfiles.storage,StorageProperties,getLocation,3,1,0
gs-uploading-files,com.example.uploadingfiles.storage,StorageProperties,setLocation,3,1,1
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,init,0,1,0
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,store,0,1,1
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,loadAll,0,1,0
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,load,0,1,1
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,loadAsResource,0,1,1
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,deleteAll,0,1,0
