Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
gs-uploading-files,com.example.uploadingfiles,FileUploadController,1,0,5,5,23,6,0,0,0.4,1,3
gs-uploading-files,com.example.uploadingfiles,UploadingFilesApplication,0,0,2,1,12,2,0,0,-1.0,2,2
gs-uploading-files,com.example.uploadingfiles,FileUploadIntegrationTests,3,0,2,2,22,2,0,0,0.0,0,1
gs-uploading-files,com.example.uploadingfiles,FileUploadTests,2,0,3,3,17,3,0,0,0.0,0,2
gs-uploading-files,com.example.uploadingfiles,UploadingFilesApplication,0,0,1,1,5,1,0,0,-1.0,0,1
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,1,0,7,7,63,11,0,1,0.0,1,1
gs-uploading-files,com.example.uploadingfiles.storage,StorageException,0,0,2,2,8,2,2,0,-1.0,1,0
gs-uploading-files,com.example.uploadingfiles.storage,StorageFileNotFoundException,0,0,2,2,8,2,0,1,-1.0,2,0
gs-uploading-files,com.example.uploadingfiles.storage,StorageProperties,1,0,2,2,12,2,0,0,0.0,3,0
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,0,0,6,0,8,6,2,0,-1.0,4,0
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageServiceTests,2,0,8,8,47,8,0,0,0.0,0,3
gs-uploading-files,com.example.uploadingfiles.storage,FileSystemStorageService,1,0,7,7,57,10,0,1,0.2857142857142857,0,1
gs-uploading-files,com.example.uploadingfiles.storage,StorageException,0,0,2,2,8,2,0,0,-1.0,0,0
gs-uploading-files,com.example.uploadingfiles.storage,StorageFileNotFoundException,0,0,2,2,8,2,0,1,-1.0,0,0
gs-uploading-files,com.example.uploadingfiles.storage,StorageProperties,1,0,2,2,12,2,0,0,0.0,0,0
gs-uploading-files,com.example.uploadingfiles.storage,StorageService,0,0,6,0,8,6,0,0,-1.0,0,0
