Project Name,Package Name,Type Name,Method Name,Code Smell
integration-sample-lambda-msk,com.amazonaws.kafka.samples,ProcessRecords,processRecords,Long Statement
integration-sample-lambda-msk,com.amazonaws.kafka.samples,ProcessRecords,processRecords,Long Statement
integration-sample-lambda-msk,com.amazonaws.kafka.samples,ProcessRecords,processRecords,Magic Number
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendFirehoseAsyncHandler,onError,Long Statement
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendFirehoseAsyncHandler,onSuccess,Long Statement
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendFirehoseAsyncHandler,onSuccess,Long Statement
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendFirehoseAsyncHandler,onSuccess,Long Statement
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendFirehoseAsyncHandler,onSuccess,Long Statement
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendKinesisDataFirehose,getFirehoseAsyncClient,Long Identifier
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendKinesisDataFirehose,getFirehoseAsyncClient,Long Statement
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendKinesisDataFirehose,sendFirehoseBatch,Long Statement
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendKinesisDataFirehose,sendFirehoseBatch,Long Statement
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendKinesisDataFirehose,addFirehoseRecordToBatch,Magic Number
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendKinesisDataFirehose,addFirehoseRecordToBatch,Magic Number
integration-sample-lambda-msk,com.amazonaws.kafka.samples,Util,getExpBackoffInterval,Magic Number
integration-sample-lambda-msk,com.amazonaws.kafka.samples,Util,getExpBackoffInterval,Magic Number
integration-sample-lambda-msk,com.amazonaws.kafka.samples,Util,getExpBackoffInterval,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,ClickEvent,Long Parameter List
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,get,Complex Method
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,get,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,get,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,get,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,get,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,get,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,get,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,get,Missing default
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,put,Complex Method
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,put,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,put,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,put,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,put,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,put,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,put,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,put,Missing default
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,Builder,Complex Method
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,Builder,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,Builder,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,Builder,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,Builder,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,Builder,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,Builder,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,Builder,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,Builder,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,Builder,Magic Number
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,Builder,Magic Number
