Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
integration-sample-lambda-msk,com.amazonaws.kafka.samples,HandlerMSK,handleRequest,6,1,2
integration-sample-lambda-msk,com.amazonaws.kafka.samples,ProcessRecords,base64Decode,3,1,1
integration-sample-lambda-msk,com.amazonaws.kafka.samples,ProcessRecords,getKafkaEventRecordsSize,7,2,1
integration-sample-lambda-msk,com.amazonaws.kafka.samples,ProcessRecords,getGSRConfigs,15,3,0
integration-sample-lambda-msk,com.amazonaws.kafka.samples,ProcessRecords,getCSRConfigs,7,1,0
integration-sample-lambda-msk,com.amazonaws.kafka.samples,ProcessRecords,deserializeAddToFirehoseBatch,23,5,4
integration-sample-lambda-msk,com.amazonaws.kafka.samples,ProcessRecords,processRecords,17,4,2
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendFirehoseAsyncHandler,SendFirehoseAsyncHandler,5,1,3
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendFirehoseAsyncHandler,onError,3,1,1
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendFirehoseAsyncHandler,onSuccess,33,6,2
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendKinesisDataFirehose,getFirehoseAsyncClient,4,1,0
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendKinesisDataFirehose,sendFirehoseBatch,5,1,4
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendKinesisDataFirehose,addFirehoseRecordToBatch,10,2,2
integration-sample-lambda-msk,com.amazonaws.kafka.samples,SendKinesisDataFirehose,getFirehoseBatch,3,1,0
integration-sample-lambda-msk,com.amazonaws.kafka.samples,Util,logEnvironment,6,1,3
integration-sample-lambda-msk,com.amazonaws.kafka.samples,Util,stackTrace,6,1,1
integration-sample-lambda-msk,com.amazonaws.kafka.samples,Util,getExpBackoffInterval,7,2,2
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getClassSchema,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,ClickEvent,2,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,ClickEvent,10,1,8
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getSchema,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,get,22,9,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,put,30,9,2
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getIp,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setIp,3,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getEventtimestamp,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setEventtimestamp,3,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getDevicetype,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setDevicetype,3,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getEventType,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setEventType,3,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getProductType,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setProductType,3,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getUserid,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setUserid,3,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getGlobalseq,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setGlobalseq,3,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getPrevglobalseq,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setPrevglobalseq,3,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,newBuilder,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,newBuilder,3,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,newBuilder,3,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,Builder,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,Builder,35,9,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,Builder,35,9,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getIp,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setIp,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,hasIp,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,clearIp,5,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getEventtimestamp,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setEventtimestamp,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,hasEventtimestamp,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,clearEventtimestamp,4,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getDevicetype,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setDevicetype,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,hasDevicetype,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,clearDevicetype,5,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getEventType,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setEventType,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,hasEventType,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,clearEventType,5,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getProductType,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setProductType,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,hasProductType,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,clearProductType,5,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getUserid,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setUserid,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,hasUserid,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,clearUserid,4,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getGlobalseq,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setGlobalseq,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,hasGlobalseq,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,clearGlobalseq,4,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,getPrevglobalseq,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,setPrevglobalseq,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,hasPrevglobalseq,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,clearPrevglobalseq,4,1,0
integration-sample-lambda-msk,samples.clickstream.avro,ClickEvent,build,17,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,Builder,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,Builder,35,9,1
integration-sample-lambda-msk,samples.clickstream.avro,Builder,Builder,35,9,1
integration-sample-lambda-msk,samples.clickstream.avro,Builder,getIp,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,setIp,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,Builder,hasIp,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,clearIp,5,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,getEventtimestamp,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,setEventtimestamp,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,Builder,hasEventtimestamp,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,clearEventtimestamp,4,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,getDevicetype,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,setDevicetype,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,Builder,hasDevicetype,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,clearDevicetype,5,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,getEventType,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,setEventType,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,Builder,hasEventType,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,clearEventType,5,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,getProductType,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,setProductType,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,Builder,hasProductType,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,clearProductType,5,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,getUserid,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,setUserid,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,Builder,hasUserid,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,clearUserid,4,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,getGlobalseq,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,setGlobalseq,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,Builder,hasGlobalseq,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,clearGlobalseq,4,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,getPrevglobalseq,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,setPrevglobalseq,6,1,1
integration-sample-lambda-msk,samples.clickstream.avro,Builder,hasPrevglobalseq,3,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,clearPrevglobalseq,4,1,0
integration-sample-lambda-msk,samples.clickstream.avro,Builder,build,17,1,0
