Project Name,Package Name,Type Name,Method Name,Code Smell
java-native-telemetry,com.azure.examples.quarkus.superhero.data,HeroItem,toString,Long Statement
java-native-telemetry,com.azure.examples.quarkus.superhero.data,HeroItem,hashCode,Magic Number
java-native-telemetry,com.azure.examples.quarkus.superhero.data,HeroItem,hashCode,Magic Number
java-native-telemetry,com.azure.examples.quarkus.superhero.data,HeroItem,toString,Long Statement
java-native-telemetry,com.azure.examples.quarkus.superhero.data,HeroItemBuilder,toString,Long Statement
java-native-telemetry,com.azure.examples.quarkus.superhero.data,VeggieItem,hashCode,Magic Number
java-native-telemetry,com.azure.examples.quarkus.superhero.data,VeggieItem,hashCode,Magic Number
java-native-telemetry,com.azure.examples.quarkus.superhero.model,Hero,toString,Long Statement
java-native-telemetry,com.azure.examples.quarkus.superhero.model,Hero,hashCode,Magic Number
java-native-telemetry,com.azure.examples.quarkus.superhero.model,Hero,hashCode,Magic Number
java-native-telemetry,com.azure.examples.quarkus.superhero.model,Hero,toString,Long Statement
java-native-telemetry,com.azure.examples.quarkus.superhero.model,HeroBuilder,toString,Long Statement
java-native-telemetry,com.azure.examples.quarkus.superhero.repository,HeroRepository,listHeroes,Magic Number
java-native-telemetry,com.azure.examples.quarkus.superhero.resource,HeroResource,add,Long Statement
java-native-telemetry,com.azure.examples.quarkus.superhero.resource,HeroResource,getHeroItem,Long Statement
java-native-telemetry,com.azure.examples.quarkus.superhero.message,SuperHeroCreatorTest,create,Long Statement
java-native-telemetry,com.azure.examples.quarkus.superhero.message,SuperHeroCreatorTest,create,Magic Number
java-native-telemetry,com.azure.examples.quarkus.superhero.message,SuperHeroCreatorTest,create,Magic Number
java-native-telemetry,com.azure.examples.quarkus.superhero.message,SuperHeroCreatorTest,create,Magic Number
java-native-telemetry,com.azure.examples.quarkus.superhero.message,SuperHeroCreatorTest,createException,Magic Number
java-native-telemetry,com.azure.examples.quarkus.data,VeggieItem,hashCode,Magic Number
java-native-telemetry,com.azure.examples.quarkus.data,VeggieItem,hashCode,Magic Number
java-native-telemetry,com.azure.examples.quarkus.data,VeggieNew,hashCode,Magic Number
java-native-telemetry,com.azure.examples.quarkus.data,VeggieNew,hashCode,Magic Number
java-native-telemetry,com.azure.examples.quarkus.model,Veggie,hashCode,Magic Number
java-native-telemetry,com.azure.examples.quarkus.model,Veggie,hashCode,Magic Number
java-native-telemetry,com.azure.examples.quarkus.resource,VeggieResource,find,Long Statement
java-native-telemetry,com.azure.examples.quarkus.resource,VeggieResource,addVeggie,Long Statement
java-native-telemetry,com.azure.examples.quarkus,VeggieResourceTest,setup,Long Statement
java-native-telemetry,com.azure.examples.quarkus,VeggieResourceTest,setup,Magic Number
java-native-telemetry,com.azure.examples.quarkus,VeggieResourceTest,testProvisionAndList,Long Statement
java-native-telemetry,com.azure.examples.quarkus,VeggieResourceTest,testProvisionAndList,Long Statement
java-native-telemetry,com.azure.examples.quarkus,VeggieResourceTest,testProvisionAndList,Magic Number
java-native-telemetry,com.azure.examples.quarkus,VeggieResourceTest,testProvisionAndList,Magic Number
java-native-telemetry,com.azure.examples.quarkus,VeggieResourceTest,testProvisionAndList,Magic Number
java-native-telemetry,com.azure.examples.springboot.data,VeggieItem,hashCode,Magic Number
java-native-telemetry,com.azure.examples.springboot.data,VeggieItem,hashCode,Magic Number
java-native-telemetry,com.azure.examples.springboot.model,Veggie,hashCode,Magic Number
java-native-telemetry,com.azure.examples.springboot.model,Veggie,hashCode,Magic Number
java-native-telemetry,com.azure.examples.springboot.service,VeggieService,getVeggieById,Long Statement
