Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CConfiguration,getAuthorityFromPolicyName,3,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CConfiguration,getScopes,3,1,0
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,onCreateView,18,1,3
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,onCreated,4,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,onError,6,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,initializeUI,57,5,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,onClick,7,2,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,onClick,7,2,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,onClick,16,2,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,onRemoved,4,1,0
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,onError,3,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,loadAccounts,15,2,0
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,onTaskCompleted,4,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,onError,3,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,getAuthSilentCallback,19,4,0
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,onSuccess,4,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,onError,10,4,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,getAuthInteractiveCallback,26,4,0
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,onSuccess,5,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,onError,13,4,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,onCancel,3,1,0
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,displayResult,4,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,displayError,3,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CModeFragment,updateUI,19,3,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CUser,getB2CUsersFromAccountList,15,3,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CUser,B2CUser,2,1,0
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CUser,getDisplayName,10,3,0
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CUser,acquireTokenSilentAsync,10,3,4
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CUser,signOutAsync,19,2,2
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CUser,run,14,2,0
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CUser,getB2CPolicyNameFromAccount,7,2,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CUser,getSubjectFromAccount,3,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,B2CUser,getB2CDisplayNameFromAccount,7,2,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,onCreateView,18,1,3
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,onCreated,4,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,onError,6,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,initializeUI,49,4,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,onClick,15,2,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,onRemoved,4,1,0
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,onError,3,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,onClick,8,2,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,onClick,9,2,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,getScopes,3,1,0
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,loadAccounts,15,2,0
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,onTaskCompleted,4,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,onError,3,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,getAuthSilentCallback,19,4,0
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,onSuccess,4,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,onError,10,4,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,getAuthInteractiveCallback,22,3,0
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,onSuccess,6,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,onError,8,3,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,onCancel,3,1,0
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,displayTokenResult,3,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,displayError,3,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,CIAMModeFragment,updateUI,21,3,1
ms-identity-android-java,com.azuresamples.msalandroidapp,MainActivity,onCreate,15,1,1
ms-identity-android-java,com.azuresamples.msalandroidapp,MainActivity,onNavigationItemSelected,30,5,1
ms-identity-android-java,com.azuresamples.msalandroidapp,MainActivity,onDrawerSlide,2,1,2
