Project Name,Package Name,Type Name,Method Name,Code Smell
msk-config-providers,com.amazonaws.kafka.config.providers.common,AwsServiceConfigProvider,parseKey,Magic Number
msk-config-providers,com.amazonaws.kafka.config.providers.common,AwsServiceConfigProvider,parseKeyOptions,Magic Number
msk-config-providers,com.amazonaws.kafka.config.providers.common,AwsServiceConfigProvider,parseKeyOptions,Magic Number
msk-config-providers,com.amazonaws.kafka.config.providers.common,AwsServiceConfigProvider,parseKeyOptions,Magic Number
msk-config-providers,com.amazonaws.kafka.config.providers.common,CommonConfigUtils,getConfig,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,S3ImportConfig,config,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,S3ImportConfigProvider,get,Complex Conditional
msk-config-providers,com.amazonaws.kafka.config.providers,S3ImportConfigProvider,get,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,SecretsManagerConfig,config,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,SecretsManagerConfigProvider,get,Complex Conditional
msk-config-providers,com.amazonaws.kafka.config.providers,SecretsManagerConfigProvider,handleNotFoundByStrategy,Complex Conditional
msk-config-providers,com.amazonaws.kafka.config.providers,SsmParamStoreConfig,config,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,SsmParamStoreConfigProvider,get,Complex Conditional
msk-config-providers,com.amazonaws.kafka.config.providers,SsmParamStoreConfigProvider,handleNotFoundByStrategy,Complex Conditional
msk-config-providers,com.amazonaws.kafka.config.providers,MockedSecretsManagerConfigProvider,checkOrInitSecretManagerClient,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,MockedSecretsManagerConfigProvider,checkOrInitSecretManagerClient,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,MockedSecretsManagerConfigProvider,checkOrInitSecretManagerClient,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,MockedSecretsManagerConfigProvider,checkOrInitSecretManagerClient,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,MockedSsmParamStoreConfigProvider,checkOrInitSsmClient,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,MockedSsmParamStoreConfigProvider,checkOrInitSsmClient,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,MockedSsmParamStoreConfigProvider,checkOrInitSsmClient,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,MockedSsmParamStoreConfigProvider,checkOrInitSsmClient,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,MockedSsmParamStoreConfigProvider,checkOrInitSsmClient,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,SecretsManagerConfigProviderTest,setup,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,SecretsManagerConfigProviderTest,testExistingKeysViaArn,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,SecretsManagerConfigProviderTest,testExistingKeysViaArnWithEncodedValue,Long Statement
msk-config-providers,com.amazonaws.kafka.config.providers,SsmParamStoreConfigProviderTest,testExistingKeys,Magic Number
