Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
open-liberty-on-aks,cafe.model,CafeRepository,getAllCoffees,4,1,0
open-liberty-on-aks,cafe.model,CafeRepository,persistCoffee,5,1,1
open-liberty-on-aks,cafe.model,CafeRepository,removeCoffeeById,5,1,1
open-liberty-on-aks,cafe.model,CafeRepository,findCoffeeById,4,1,1
open-liberty-on-aks,cafe.model,CafeRepository,CafeRepository,6,1,0
open-liberty-on-aks,cafe.model,CafeRepository,getAllCoffees,4,1,0
open-liberty-on-aks,cafe.model,CafeRepository,persistCoffee,6,1,1
open-liberty-on-aks,cafe.model,CafeRepository,removeCoffeeById,4,1,1
open-liberty-on-aks,cafe.model,CafeRepository,findCoffeeById,4,1,1
open-liberty-on-aks,cafe.model.entity,Coffee,Coffee,2,1,0
open-liberty-on-aks,cafe.model.entity,Coffee,Coffee,4,1,2
open-liberty-on-aks,cafe.model.entity,Coffee,getName,3,1,0
open-liberty-on-aks,cafe.model.entity,Coffee,setName,3,1,1
open-liberty-on-aks,cafe.model.entity,Coffee,getPrice,3,1,0
open-liberty-on-aks,cafe.model.entity,Coffee,setPrice,3,1,1
open-liberty-on-aks,cafe.model.entity,Coffee,getId,3,1,0
open-liberty-on-aks,cafe.model.entity,Coffee,setId,3,1,1
open-liberty-on-aks,cafe.model.entity,Coffee,hashCode,5,1,0
open-liberty-on-aks,cafe.model.entity,Coffee,equals,10,3,1
open-liberty-on-aks,cafe.model.entity,Coffee,toString,3,1,0
open-liberty-on-aks,cafe.model.entity,Coffee,Coffee,2,1,0
open-liberty-on-aks,cafe.model.entity,Coffee,Coffee,4,1,2
open-liberty-on-aks,cafe.model.entity,Coffee,getName,3,1,0
open-liberty-on-aks,cafe.model.entity,Coffee,setName,3,1,1
open-liberty-on-aks,cafe.model.entity,Coffee,getPrice,3,1,0
open-liberty-on-aks,cafe.model.entity,Coffee,setPrice,3,1,1
open-liberty-on-aks,cafe.model.entity,Coffee,getId,3,1,0
open-liberty-on-aks,cafe.model.entity,Coffee,setId,3,1,1
open-liberty-on-aks,cafe.model.entity,Coffee,hashCode,5,1,0
open-liberty-on-aks,cafe.model.entity,Coffee,equals,10,3,1
open-liberty-on-aks,cafe.model.entity,Coffee,toString,3,1,0
open-liberty-on-aks,cafe.web.rest,CafeResource,getAllCoffees,3,1,0
open-liberty-on-aks,cafe.web.rest,CafeResource,createCoffee,3,1,1
open-liberty-on-aks,cafe.web.rest,CafeResource,getCoffeeById,3,1,1
open-liberty-on-aks,cafe.web.rest,CafeResource,deleteCoffee,3,1,1
open-liberty-on-aks,cafe.web.rest,CafeResource,getAllCoffees,3,1,0
open-liberty-on-aks,cafe.web.rest,CafeResource,createCoffee,3,1,1
open-liberty-on-aks,cafe.web.rest,CafeResource,getCoffeeById,3,1,1
open-liberty-on-aks,cafe.web.rest,CafeResource,deleteCoffee,3,1,1
open-liberty-on-aks,cafe.web.view,Cafe,getName,3,1,0
open-liberty-on-aks,cafe.web.view,Cafe,setName,3,1,1
open-liberty-on-aks,cafe.web.view,Cafe,getPrice,3,1,0
open-liberty-on-aks,cafe.web.view,Cafe,setPrice,3,1,1
open-liberty-on-aks,cafe.web.view,Cafe,getCoffeeList,4,1,0
open-liberty-on-aks,cafe.web.view,Cafe,getHostName,3,1,0
open-liberty-on-aks,cafe.web.view,Cafe,init,7,1,0
open-liberty-on-aks,cafe.web.view,Cafe,getAllCoffees,5,1,0
open-liberty-on-aks,cafe.web.view,Cafe,addCoffee,8,1,0
open-liberty-on-aks,cafe.web.view,Cafe,removeCoffee,4,1,1
open-liberty-on-aks,cafe.web.view,Cafe,getName,3,1,0
open-liberty-on-aks,cafe.web.view,Cafe,setName,3,1,1
open-liberty-on-aks,cafe.web.view,Cafe,getPrice,3,1,0
open-liberty-on-aks,cafe.web.view,Cafe,setPrice,3,1,1
open-liberty-on-aks,cafe.web.view,Cafe,getCoffeeList,4,1,0
open-liberty-on-aks,cafe.web.view,Cafe,getHostName,3,1,0
open-liberty-on-aks,cafe.web.view,Cafe,getSubmitCount,3,1,0
open-liberty-on-aks,cafe.web.view,Cafe,init,9,1,0
open-liberty-on-aks,cafe.web.view,Cafe,getAllCoffees,5,1,0
open-liberty-on-aks,cafe.web.view,Cafe,addCoffee,10,1,0
open-liberty-on-aks,cafe.web.view,Cafe,removeCoffee,4,1,1
