Project Name,Package Name,Type Name,Method Name,Code Smell
pubsub-dapr-aks-java,com.azdaks.accountservice.controller,TransferEventController,handleTransferRequest,Long Identifier
pubsub-dapr-aks-java,com.azdaks.fraudservice.controller,TransferEventController,handleTransferRequest,Magic Number
pubsub-dapr-aks-java,com.azdaks.notificationservice.controller,TransferEventController,handleTransferRequest,Long Identifier
pubsub-dapr-aks-java,com.azdaks.publicapiservice.config,AccountServiceConfiguration,getObjectMapper,Long Statement
pubsub-dapr-aks-java,com.azdaks.publicapiservice.controller,AccountsController,createAccount,Long Statement
pubsub-dapr-aks-java,com.azdaks.publicapiservice.controller,StatesController,handleStateRequest,Long Statement
pubsub-dapr-aks-java,com.azdaks.publicapiservice.controller,TransfersController,createTransferRequest,Long Statement
pubsub-dapr-aks-java,com.azdaks.publicapiservice.controller,TransfersController,createTransferRequest,Long Statement
pubsub-dapr-aks-java,com.azdaks.publicapiservice.model,AccountResponse,generateId,Magic Number
pubsub-dapr-aks-java,com.azdaks.publicapiservice.model,TransferRequest,generateId,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e.api,ApiRequest,buildPostRequest,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e.endpoint,CreateFraudMoneyTransferEndpoint,createRequest,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e.endpoint,CreateMoneyTransferEndpoint,createRequest,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,Main,main,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,Main,main,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,Main,main,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,Main,main,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,Main,main,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testApplicationIsRunning,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testApplicationIsRunning,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testApplicationIsRunning,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testApplicationIsRunning,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateAccount,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateAccount,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateAccount,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateAccount,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testCreateMoneyTransfer,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testMoneyTransferCompletion,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testMoneyTransferCompletion,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testMoneyTransferCompletion,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testMoneyTransferCompletion,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testMoneyTransferCompletion,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testMoneyTransferCompletion,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testMoneyTransferCompletion,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testMoneyTransferCompletion,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testMoneyTransferCompletion,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testAccountBalanceAfterTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testAccountBalanceAfterTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testAccountBalanceAfterTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testAccountBalanceAfterTransfer,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testAccountBalanceAfterTransfer,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testFraudMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testFraudMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testFraudMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testFraudMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testFraudMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testFraudMoneyTransfer,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testFraudMoneyTransfer,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testFraudMoneyTransfer,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testInsufficientFundsMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testInsufficientFundsMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testInsufficientFundsMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testInsufficientFundsMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testInsufficientFundsMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testInsufficientFundsMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testInsufficientFundsMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testInsufficientFundsMoneyTransfer,Long Statement
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testInsufficientFundsMoneyTransfer,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testInsufficientFundsMoneyTransfer,Magic Number
pubsub-dapr-aks-java,org.azdaks.test.e2e,TestRunner,testInsufficientFundsMoneyTransfer,Magic Number
